LocNumber,Loc,Date,Temp,Prec
108,서울,2017-09-01 00,20.4,
108,서울,2017-09-01 01,19.8,
108,서울,2017-09-01 02,19.4,
108,서울,2017-09-01 03,18.7,
108,서울,2017-09-01 04,18.3,
108,서울,2017-09-01 05,17.9,
108,서울,2017-09-01 06,17.3,
108,서울,2017-09-01 07,17.4,
108,서울,2017-09-01 08,19.8,
108,서울,2017-09-01 09,22.0,
108,서울,2017-09-01 10,24.0,
108,서울,2017-09-01 11,25.7,
108,서울,2017-09-01 12,27.2,
108,서울,2017-09-01 13,27.2,
108,서울,2017-09-01 14,28.8,
108,서울,2017-09-01 15,28.8,
108,서울,2017-09-01 16,29.4,
108,서울,2017-09-01 17,29.0,
108,서울,2017-09-01 18,27.5,
108,서울,2017-09-01 19,25.5,
108,서울,2017-09-01 20,24.3,
108,서울,2017-09-01 21,23.4,
108,서울,2017-09-01 22,22.5,
108,서울,2017-09-01 23,21.8,
108,서울,2017-09-02 00,21.3,
108,서울,2017-09-02 01,20.7,
108,서울,2017-09-02 02,20.1,
108,서울,2017-09-02 03,19.5,
108,서울,2017-09-02 04,19.1,
108,서울,2017-09-02 05,18.8,
108,서울,2017-09-02 06,18.7,
108,서울,2017-09-02 07,19.0,
108,서울,2017-09-02 08,20.7,
108,서울,2017-09-02 09,22.8,
108,서울,2017-09-02 10,24.8,
108,서울,2017-09-02 11,26.1,
108,서울,2017-09-02 12,27.1,
108,서울,2017-09-02 13,28.2,
108,서울,2017-09-02 14,29.2,
108,서울,2017-09-02 15,28.8,
108,서울,2017-09-02 16,28.0,
108,서울,2017-09-02 17,27.9,
108,서울,2017-09-02 18,27.6,
108,서울,2017-09-02 19,25.2,
108,서울,2017-09-02 20,24.3,
108,서울,2017-09-02 21,23.7,
108,서울,2017-09-02 22,23.1,
108,서울,2017-09-02 23,22.6,
108,서울,2017-09-03 00,22.3,
108,서울,2017-09-03 01,21.6,
108,서울,2017-09-03 02,21.1,
108,서울,2017-09-03 03,20.5,
108,서울,2017-09-03 04,20.0,
108,서울,2017-09-03 05,19.5,
108,서울,2017-09-03 06,19.1,
108,서울,2017-09-03 07,19.1,
108,서울,2017-09-03 08,20.9,
108,서울,2017-09-03 09,23.0,
108,서울,2017-09-03 10,25.0,
108,서울,2017-09-03 11,26.5,
108,서울,2017-09-03 12,27.0,
108,서울,2017-09-03 13,27.7,
108,서울,2017-09-03 14,27.4,
108,서울,2017-09-03 15,27.0,
108,서울,2017-09-03 16,28.9,
108,서울,2017-09-03 17,28.1,
108,서울,2017-09-03 18,26.6,
108,서울,2017-09-03 19,25.5,
108,서울,2017-09-03 20,24.5,
108,서울,2017-09-03 21,23.9,
108,서울,2017-09-03 22,23.4,
108,서울,2017-09-03 23,22.9,
108,서울,2017-09-04 00,22.3,
108,서울,2017-09-04 01,21.6,
108,서울,2017-09-04 02,21.0,
108,서울,2017-09-04 03,20.6,
108,서울,2017-09-04 04,20.0,
108,서울,2017-09-04 05,19.9,
108,서울,2017-09-04 06,19.7,
108,서울,2017-09-04 07,19.9,
108,서울,2017-09-04 08,20.9,
108,서울,2017-09-04 09,23.7,
108,서울,2017-09-04 10,25.4,
108,서울,2017-09-04 11,27.7,
108,서울,2017-09-04 12,28.3,
108,서울,2017-09-04 13,29.3,
108,서울,2017-09-04 14,29.8,
108,서울,2017-09-04 15,30.1,
108,서울,2017-09-04 16,29.0,
108,서울,2017-09-04 17,28.1,
108,서울,2017-09-04 18,27.3,
108,서울,2017-09-04 19,26.0,
108,서울,2017-09-04 20,25.1,
108,서울,2017-09-04 21,24.5,
108,서울,2017-09-04 22,23.8,
108,서울,2017-09-04 23,23.3,
108,서울,2017-09-05 00,22.6,
108,서울,2017-09-05 01,21.9,
108,서울,2017-09-05 02,21.3,
108,서울,2017-09-05 03,20.9,
108,서울,2017-09-05 04,20.7,
108,서울,2017-09-05 05,20.6,
108,서울,2017-09-05 06,20.5,
108,서울,2017-09-05 07,20.5,
108,서울,2017-09-05 08,20.6,
108,서울,2017-09-05 09,21.2,
108,서울,2017-09-05 10,22.2,
108,서울,2017-09-05 11,22.9,0.0
108,서울,2017-09-05 12,23.4,0.0
108,서울,2017-09-05 13,23.6,0.0
108,서울,2017-09-05 14,23.7,0.0
108,서울,2017-09-05 15,23.5,
108,서울,2017-09-05 16,23.4,
108,서울,2017-09-05 17,23.2,
108,서울,2017-09-05 18,23.0,
108,서울,2017-09-05 19,22.8,
108,서울,2017-09-05 20,22.5,
108,서울,2017-09-05 21,22.0,
108,서울,2017-09-05 22,21.7,
108,서울,2017-09-05 23,21.3,
108,서울,2017-09-06 00,20.9,
108,서울,2017-09-06 01,20.5,
108,서울,2017-09-06 02,20.2,
108,서울,2017-09-06 03,20.1,
108,서울,2017-09-06 04,19.9,
108,서울,2017-09-06 05,19.7,
108,서울,2017-09-06 06,19.6,
108,서울,2017-09-06 07,19.6,
108,서울,2017-09-06 08,20.0,0.0
108,서울,2017-09-06 09,20.8,0.0
108,서울,2017-09-06 10,22.1,
108,서울,2017-09-06 11,23.4,
108,서울,2017-09-06 12,23.9,
108,서울,2017-09-06 13,23.9,0.0
108,서울,2017-09-06 14,23.4,0.1
108,서울,2017-09-06 15,22.5,0.4
108,서울,2017-09-06 16,21.3,1.0
108,서울,2017-09-06 17,20.8,0.5
108,서울,2017-09-06 18,20.4,0.0
108,서울,2017-09-06 19,20.1,0.0
108,서울,2017-09-06 20,19.9,0.0
108,서울,2017-09-06 21,19.2,0.0
108,서울,2017-09-06 22,19.0,0.0
108,서울,2017-09-06 23,18.6,
108,서울,2017-09-07 00,18.6,
108,서울,2017-09-07 01,18.5,
108,서울,2017-09-07 02,18.1,
108,서울,2017-09-07 03,18.1,
108,서울,2017-09-07 04,17.8,
108,서울,2017-09-07 05,17.8,
108,서울,2017-09-07 06,18.1,
108,서울,2017-09-07 07,18.0,
108,서울,2017-09-07 08,19.0,
108,서울,2017-09-07 09,20.2,
108,서울,2017-09-07 10,22.4,
108,서울,2017-09-07 11,23.5,
108,서울,2017-09-07 12,24.8,
108,서울,2017-09-07 13,26.0,
108,서울,2017-09-07 14,26.3,
108,서울,2017-09-07 15,27.2,
108,서울,2017-09-07 16,26.5,
108,서울,2017-09-07 17,27.2,
108,서울,2017-09-07 18,26.1,
