지점번호,지점,일시,기온,강수량
108,서울,2017-04-07 18,19.4,
108,서울,2017-04-07 19,16.9,
108,서울,2017-04-07 20,15.2,
108,서울,2017-04-07 21,14.3,
108,서울,2017-04-07 22,13.3,
108,서울,2017-04-07 23,12.8,
108,서울,2017-04-08 00,12.3,
108,서울,2017-04-08 01,11.9,
108,서울,2017-04-08 02,11.3,
108,서울,2017-04-08 03,10.6,
108,서울,2017-04-08 04,9.9,
108,서울,2017-04-08 05,9.4,
108,서울,2017-04-08 06,9.1,
108,서울,2017-04-08 07,8.6,
108,서울,2017-04-08 08,9.1,
108,서울,2017-04-08 09,10.2,
108,서울,2017-04-08 10,12.0,
108,서울,2017-04-08 11,14.7,
108,서울,2017-04-08 12,15.8,
108,서울,2017-04-08 13,17.8,
108,서울,2017-04-08 14,18.6,
108,서울,2017-04-08 15,19.4,
108,서울,2017-04-08 16,19.5,
108,서울,2017-04-08 17,16.9,
108,서울,2017-04-08 18,15.2,
108,서울,2017-04-08 19,13.5,
108,서울,2017-04-08 20,13.0,
108,서울,2017-04-08 21,12.5,
108,서울,2017-04-08 22,12.1,
108,서울,2017-04-08 23,11.4,0.2
108,서울,2017-04-09 00,11.3,0.3
108,서울,2017-04-09 01,11.4,0.1
108,서울,2017-04-09 02,11.6,0.4
108,서울,2017-04-09 03,11.7,0.0
108,서울,2017-04-09 04,11.9,0.0
108,서울,2017-04-09 05,11.1,0.0
108,서울,2017-04-09 06,10.7,
108,서울,2017-04-09 07,10.7,
108,서울,2017-04-09 08,11.3,
108,서울,2017-04-09 09,12.8,
108,서울,2017-04-09 10,14.7,
108,서울,2017-04-09 11,17.1,
108,서울,2017-04-09 12,18.3,
108,서울,2017-04-09 13,19.5,
108,서울,2017-04-09 14,20.0,
108,서울,2017-04-09 15,20.5,
108,서울,2017-04-09 16,19.6,
108,서울,2017-04-09 17,18.2,
108,서울,2017-04-09 18,17.3,
108,서울,2017-04-09 19,15.9,
108,서울,2017-04-09 20,14.8,
108,서울,2017-04-09 21,14.2,
108,서울,2017-04-09 22,13.9,
108,서울,2017-04-09 23,13.5,
108,서울,2017-04-10 00,13.1,
108,서울,2017-04-10 01,12.7,
108,서울,2017-04-10 02,12.2,
108,서울,2017-04-10 03,11.7,
108,서울,2017-04-10 04,11.2,
108,서울,2017-04-10 05,10.9,
108,서울,2017-04-10 06,10.4,
108,서울,2017-04-10 07,10.3,
108,서울,2017-04-10 08,12.1,
108,서울,2017-04-10 09,14.0,
108,서울,2017-04-10 10,16.3,
108,서울,2017-04-10 11,18.0,
108,서울,2017-04-10 12,19.5,
108,서울,2017-04-10 13,20.4,
108,서울,2017-04-10 14,21.2,
108,서울,2017-04-10 15,22.3,
108,서울,2017-04-10 16,23.0,
108,서울,2017-04-10 17,22.0,
108,서울,2017-04-10 18,21.7,
108,서울,2017-04-10 19,19.9,
108,서울,2017-04-10 20,18.8,
108,서울,2017-04-10 21,17.2,
108,서울,2017-04-10 22,16.6,
108,서울,2017-04-10 23,15.5,
108,서울,2017-04-11 00,15.1,
108,서울,2017-04-11 01,14.6,
108,서울,2017-04-11 02,14.3,
108,서울,2017-04-11 03,14.0,
108,서울,2017-04-11 04,13.5,
108,서울,2017-04-11 05,13.2,
108,서울,2017-04-11 06,13.0,
108,서울,2017-04-11 07,12.6,
108,서울,2017-04-11 08,12.0,
108,서울,2017-04-11 09,12.6,
108,서울,2017-04-11 10,14.5,
108,서울,2017-04-11 11,16.0,
108,서울,2017-04-11 12,18.7,
108,서울,2017-04-11 13,18.9,
108,서울,2017-04-11 14,19.7,
108,서울,2017-04-11 15,19.7,
108,서울,2017-04-11 16,19.9,
108,서울,2017-04-11 17,19.4,
108,서울,2017-04-11 18,18.7,
108,서울,2017-04-11 19,17.4,
108,서울,2017-04-11 20,16.0,
108,서울,2017-04-11 21,14.4,
108,서울,2017-04-11 22,13.2,
108,서울,2017-04-11 23,12.2,
108,서울,2017-04-12 00,11.5,
108,서울,2017-04-12 01,10.8,
108,서울,2017-04-12 02,10.3,
108,서울,2017-04-12 03,10.2,
108,서울,2017-04-12 04,10.9,
108,서울,2017-04-12 05,10.4,
108,서울,2017-04-12 06,9.3,
108,서울,2017-04-12 07,9.0,
108,서울,2017-04-12 08,9.8,
108,서울,2017-04-12 09,11.1,
108,서울,2017-04-12 10,12.3,
108,서울,2017-04-12 11,13.1,
108,서울,2017-04-12 12,14.3,
108,서울,2017-04-12 13,14.6,
108,서울,2017-04-12 14,15.9,
108,서울,2017-04-12 15,15.8,
108,서울,2017-04-12 16,15.2,
108,서울,2017-04-12 17,14.0,
108,서울,2017-04-12 18,12.4,
108,서울,2017-04-12 19,11.3,
108,서울,2017-04-12 20,10.5,
108,서울,2017-04-12 21,10.1,
108,서울,2017-04-12 22,9.5,
108,서울,2017-04-12 23,9.0,
108,서울,2017-04-13 00,8.8,
108,서울,2017-04-13 01,8.4,
108,서울,2017-04-13 02,7.9,
108,서울,2017-04-13 03,7.5,
108,서울,2017-04-13 04,6.8,
108,서울,2017-04-13 05,6.6,
108,서울,2017-04-13 06,6.4,
108,서울,2017-04-13 07,6.3,
108,서울,2017-04-13 08,8.7,
108,서울,2017-04-13 09,11.2,
108,서울,2017-04-13 10,13.3,
108,서울,2017-04-13 11,15.5,
108,서울,2017-04-13 12,16.3,
108,서울,2017-04-13 13,16.5,0.0
108,서울,2017-04-13 14,18.0,0.0
108,서울,2017-04-13 15,19.0,
108,서울,2017-04-13 16,19.1,
108,서울,2017-04-13 17,17.4,
108,서울,2017-04-13 18,15.9,
108,서울,2017-04-13 19,14.0,
108,서울,2017-04-13 20,13.6,
108,서울,2017-04-13 21,13.3,
108,서울,2017-04-13 22,12.7,
108,서울,2017-04-13 23,12.4,
108,서울,2017-04-14 00,12.2,
108,서울,2017-04-14 01,12.4,
108,서울,2017-04-14 02,12.1,
108,서울,2017-04-14 03,11.7,
108,서울,2017-04-14 04,11.1,
108,서울,2017-04-14 05,10.5,
108,서울,2017-04-14 06,10.1,
108,서울,2017-04-14 07,10.5,
108,서울,2017-04-14 08,13.4,
108,서울,2017-04-14 09,15.1,
108,서울,2017-04-14 10,16.9,
108,서울,2017-04-14 11,17.3,
108,서울,2017-04-14 12,16.8,0.0
108,서울,2017-04-14 13,13.2,1.5
108,서울,2017-04-14 14,12.3,4.0
108,서울,2017-04-14 15,13.0,
108,서울,2017-04-14 16,12.9,0.5
108,서울,2017-04-14 17,13.3,0.0
108,서울,2017-04-14 18,13.3,0.0
108,서울,2017-04-14 19,12.9,
108,서울,2017-04-14 20,12.5,
108,서울,2017-04-14 21,12.2,
108,서울,2017-04-14 22,11.8,
108,서울,2017-04-14 23,11.7,
108,서울,2017-04-15 00,11.5,
108,서울,2017-04-15 01,11.4,
108,서울,2017-04-15 02,11.3,
108,서울,2017-04-15 03,11.0,
108,서울,2017-04-15 04,11.0,
108,서울,2017-04-15 05,11.1,
108,서울,2017-04-15 06,11.4,
108,서울,2017-04-15 07,11.4,
108,서울,2017-04-15 08,12.4,
108,서울,2017-04-15 09,14.7,
108,서울,2017-04-15 10,16.8,
108,서울,2017-04-15 11,18.6,
108,서울,2017-04-15 12,20.1,
108,서울,2017-04-15 13,21.9,
108,서울,2017-04-15 14,23.3,
108,서울,2017-04-15 15,24.2,
108,서울,2017-04-15 16,22.4,
108,서울,2017-04-15 17,22.1,
108,서울,2017-04-15 18,20.7,
108,서울,2017-04-15 19,19.2,
108,서울,2017-04-15 20,18.0,
108,서울,2017-04-15 21,17.2,
108,서울,2017-04-15 22,16.3,
108,서울,2017-04-15 23,15.6,
108,서울,2017-04-16 00,15.0,
108,서울,2017-04-16 01,14.3,
108,서울,2017-04-16 02,13.5,
108,서울,2017-04-16 03,13.4,
108,서울,2017-04-16 04,13.2,
108,서울,2017-04-16 05,13.0,
108,서울,2017-04-16 06,13.2,
108,서울,2017-04-16 07,12.9,
108,서울,2017-04-16 08,14.7,
108,서울,2017-04-16 09,17.2,
108,서울,2017-04-16 10,19.9,
108,서울,2017-04-16 11,21.4,
108,서울,2017-04-16 12,22.6,
108,서울,2017-04-16 13,23.4,
108,서울,2017-04-16 14,23.9,
108,서울,2017-04-16 15,23.4,
108,서울,2017-04-16 16,23.5,
108,서울,2017-04-16 17,23.2,
108,서울,2017-04-16 18,22.3,
108,서울,2017-04-16 19,21.5,
108,서울,2017-04-16 20,20.4,
108,서울,2017-04-16 21,19.9,
108,서울,2017-04-16 22,19.2,
108,서울,2017-04-16 23,18.5,
108,서울,2017-04-17 00,17.9,
108,서울,2017-04-17 01,17.4,
108,서울,2017-04-17 02,17.1,
108,서울,2017-04-17 03,16.4,
108,서울,2017-04-17 04,16.2,
108,서울,2017-04-17 05,16.0,
108,서울,2017-04-17 06,16.2,
108,서울,2017-04-17 07,16.6,
108,서울,2017-04-17 08,17.1,
108,서울,2017-04-17 09,17.3,
108,서울,2017-04-17 10,17.8,0.0
108,서울,2017-04-17 11,17.9,0.1
108,서울,2017-04-17 12,16.1,0.9
108,서울,2017-04-17 13,13.8,0.5
108,서울,2017-04-17 14,13.2,2.0
108,서울,2017-04-17 15,13.2,1.5
108,서울,2017-04-17 16,14.6,0.5
108,서울,2017-04-17 17,15.1,
108,서울,2017-04-17 18,14.6,
108,서울,2017-04-17 19,14.2,
108,서울,2017-04-17 20,13.5,
