지점번호,지점,일시,기온,강수량
108,서울,2017-06-01 00,21.4,
108,서울,2017-06-01 01,21.5,
108,서울,2017-06-01 02,21.3,
108,서울,2017-06-01 03,20.9,
108,서울,2017-06-01 04,20.6,
108,서울,2017-06-01 05,20.6,
108,서울,2017-06-01 06,20.9,
108,서울,2017-06-01 07,20.9,
108,서울,2017-06-01 08,21.9,
108,서울,2017-06-01 09,23.2,
108,서울,2017-06-01 10,23.7,
108,서울,2017-06-01 11,24.5,
108,서울,2017-06-01 12,25.7,
108,서울,2017-06-01 13,26.6,
108,서울,2017-06-01 14,26.2,
108,서울,2017-06-01 15,26.9,
108,서울,2017-06-01 16,26.5,
108,서울,2017-06-01 17,26.6,
108,서울,2017-06-01 18,26.3,
108,서울,2017-06-01 19,25.3,
108,서울,2017-06-01 20,23.7,
108,서울,2017-06-01 21,22.8,
108,서울,2017-06-01 22,21.9,
108,서울,2017-06-01 23,21.1,
108,서울,2017-06-02 00,20.0,
108,서울,2017-06-02 01,19.4,
108,서울,2017-06-02 02,18.0,
108,서울,2017-06-02 03,17.1,
108,서울,2017-06-02 04,16.5,
108,서울,2017-06-02 05,15.9,
108,서울,2017-06-02 06,15.8,
108,서울,2017-06-02 07,17.2,
108,서울,2017-06-02 08,18.8,
108,서울,2017-06-02 09,19.7,
108,서울,2017-06-02 10,21.3,
108,서울,2017-06-02 11,22.8,
108,서울,2017-06-02 12,23.6,
108,서울,2017-06-02 13,24.3,
108,서울,2017-06-02 14,25.3,
108,서울,2017-06-02 15,25.4,
108,서울,2017-06-02 16,24.0,
108,서울,2017-06-02 17,24.3,
108,서울,2017-06-02 18,23.5,
108,서울,2017-06-02 19,22.0,
108,서울,2017-06-02 20,21.0,
108,서울,2017-06-02 21,19.9,0.0
108,서울,2017-06-02 22,19.5,
108,서울,2017-06-02 23,19.0,0.0
108,서울,2017-06-03 00,18.6,
108,서울,2017-06-03 01,18.2,
108,서울,2017-06-03 02,17.5,
108,서울,2017-06-03 03,17.2,
108,서울,2017-06-03 04,16.9,
108,서울,2017-06-03 05,16.2,
108,서울,2017-06-03 06,16.1,
108,서울,2017-06-03 07,16.9,
108,서울,2017-06-03 08,17.8,
108,서울,2017-06-03 09,19.3,
108,서울,2017-06-03 10,21.3,
108,서울,2017-06-03 11,22.3,
108,서울,2017-06-03 12,24.0,
108,서울,2017-06-03 13,24.6,
108,서울,2017-06-03 14,25.1,
108,서울,2017-06-03 15,26.2,
108,서울,2017-06-03 16,26.4,
108,서울,2017-06-03 17,24.3,
108,서울,2017-06-03 18,23.4,
108,서울,2017-06-03 19,22.6,
108,서울,2017-06-03 20,21.1,
108,서울,2017-06-03 21,19.8,
108,서울,2017-06-03 22,19.1,
108,서울,2017-06-03 23,18.7,
108,서울,2017-06-04 00,18.1,
108,서울,2017-06-04 01,17.6,
108,서울,2017-06-04 02,17.2,
108,서울,2017-06-04 03,16.4,
108,서울,2017-06-04 04,16.0,
108,서울,2017-06-04 05,15.5,
108,서울,2017-06-04 06,15.2,
108,서울,2017-06-04 07,16.8,
108,서울,2017-06-04 08,19.6,
108,서울,2017-06-04 09,22.0,
108,서울,2017-06-04 10,23.7,
108,서울,2017-06-04 11,25.1,
108,서울,2017-06-04 12,26.4,
108,서울,2017-06-04 13,26.8,
108,서울,2017-06-04 14,27.3,
108,서울,2017-06-04 15,27.8,
108,서울,2017-06-04 16,27.8,
108,서울,2017-06-04 17,26.7,
108,서울,2017-06-04 18,25.6,
108,서울,2017-06-04 19,24.4,
108,서울,2017-06-04 20,22.2,
108,서울,2017-06-04 21,20.9,
108,서울,2017-06-04 22,20.2,
108,서울,2017-06-04 23,19.9,
108,서울,2017-06-05 00,19.5,
108,서울,2017-06-05 01,19.6,0.0
108,서울,2017-06-05 02,19.2,0.0
108,서울,2017-06-05 03,18.3,
108,서울,2017-06-05 04,17.5,
108,서울,2017-06-05 05,17.0,
108,서울,2017-06-05 06,16.6,
108,서울,2017-06-05 07,18.3,
108,서울,2017-06-05 08,21.4,
108,서울,2017-06-05 09,23.7,
108,서울,2017-06-05 10,25.3,
108,서울,2017-06-05 11,26.9,
108,서울,2017-06-05 12,27.5,
108,서울,2017-06-05 13,28.5,
108,서울,2017-06-05 14,29.3,
108,서울,2017-06-05 15,29.7,
108,서울,2017-06-05 16,29.6,
108,서울,2017-06-05 17,30.1,
108,서울,2017-06-05 18,29.5,
108,서울,2017-06-05 19,28.0,
108,서울,2017-06-05 20,26.2,
108,서울,2017-06-05 21,25.0,
108,서울,2017-06-05 22,23.8,
108,서울,2017-06-05 23,22.9,
108,서울,2017-06-06 00,22.9,
108,서울,2017-06-06 01,22.3,
108,서울,2017-06-06 02,21.6,
108,서울,2017-06-06 03,21.0,
108,서울,2017-06-06 04,20.4,
108,서울,2017-06-06 05,20.0,
108,서울,2017-06-06 06,19.9,
108,서울,2017-06-06 07,20.1,
108,서울,2017-06-06 08,20.6,
108,서울,2017-06-06 09,20.9,
108,서울,2017-06-06 10,21.9,
108,서울,2017-06-06 11,22.7,
108,서울,2017-06-06 12,23.0,0.0
108,서울,2017-06-06 13,23.3,0.0
108,서울,2017-06-06 14,23.9,0.0
108,서울,2017-06-06 15,22.9,0.0
108,서울,2017-06-06 16,21.5,0.0
108,서울,2017-06-06 17,18.8,0.5
108,서울,2017-06-06 18,17.4,1.0
108,서울,2017-06-06 19,16.6,1.0
108,서울,2017-06-06 20,15.4,0.5
108,서울,2017-06-06 21,14.6,7.0
108,서울,2017-06-06 22,14.6,2.5
108,서울,2017-06-06 23,14.8,1.0
108,서울,2017-06-07 00,15.1,2.0
108,서울,2017-06-07 01,15.3,3.0
108,서울,2017-06-07 02,15.5,1.0
108,서울,2017-06-07 03,15.8,2.5
108,서울,2017-06-07 04,16.1,0.5
108,서울,2017-06-07 05,16.3,0.5
108,서울,2017-06-07 06,16.7,1.5
108,서울,2017-06-07 07,17.0,1.0
108,서울,2017-06-07 08,17.5,0.5
108,서울,2017-06-07 09,17.9,0.0
108,서울,2017-06-07 10,18.4,1.0
108,서울,2017-06-07 11,18.9,0.0
108,서울,2017-06-07 12,19.0,0.5
108,서울,2017-06-07 13,18.9,0.5
108,서울,2017-06-07 14,19.1,0.0
108,서울,2017-06-07 15,18.1,0.0
108,서울,2017-06-07 16,18.4,0.0
108,서울,2017-06-07 17,19.0,
108,서울,2017-06-07 18,18.7,0.0
108,서울,2017-06-07 19,18.3,
108,서울,2017-06-07 20,18.0,
108,서울,2017-06-07 21,17.9,
108,서울,2017-06-07 22,17.5,
108,서울,2017-06-07 23,17.3,
108,서울,2017-06-08 00,16.8,
108,서울,2017-06-08 01,16.2,
108,서울,2017-06-08 02,15.8,
108,서울,2017-06-08 03,15.5,
108,서울,2017-06-08 04,15.3,
108,서울,2017-06-08 05,15.2,
108,서울,2017-06-08 06,15.8,
108,서울,2017-06-08 07,16.3,
108,서울,2017-06-08 08,17.1,
