LocNumber,Loc,Date,Temp,Prec
108,서울,2017-01-07 22,4.1,
108,서울,2017-01-07 23,3.8,
108,서울,2017-01-08 00,4.3,
108,서울,2017-01-08 01,4.6,
108,서울,2017-01-08 02,4.9,
108,서울,2017-01-08 03,4.8,
108,서울,2017-01-08 04,4.4,
108,서울,2017-01-08 05,4.1,
108,서울,2017-01-08 06,4.0,
108,서울,2017-01-08 07,4.2,
108,서울,2017-01-08 08,4.1,
108,서울,2017-01-08 09,4.8,
108,서울,2017-01-08 10,6.7,
108,서울,2017-01-08 11,9.2,
108,서울,2017-01-08 12,10.3,
108,서울,2017-01-08 13,10.4,
108,서울,2017-01-08 14,10.6,
108,서울,2017-01-08 15,9.8,
108,서울,2017-01-08 16,9.5,
108,서울,2017-01-08 17,8.9,
108,서울,2017-01-08 18,8.2,0.0
108,서울,2017-01-08 19,7.4,
108,서울,2017-01-08 20,6.7,
108,서울,2017-01-08 21,6.0,0.0
108,서울,2017-01-08 22,5.4,
108,서울,2017-01-08 23,4.6,
108,서울,2017-01-09 00,4.0,0.0
108,서울,2017-01-09 01,3.8,
108,서울,2017-01-09 02,3.6,
108,서울,2017-01-09 03,3.4,0.0
108,서울,2017-01-09 04,3.2,
108,서울,2017-01-09 05,3.0,
108,서울,2017-01-09 06,2.7,0.0
108,서울,2017-01-09 07,2.5,
108,서울,2017-01-09 08,1.9,
108,서울,2017-01-09 09,1.6,
108,서울,2017-01-09 10,1.7,
108,서울,2017-01-09 11,2.3,
108,서울,2017-01-09 12,3.2,
108,서울,2017-01-09 13,3.9,
108,서울,2017-01-09 14,3.6,
108,서울,2017-01-09 15,3.7,
108,서울,2017-01-09 16,3.5,
108,서울,2017-01-09 17,2.4,
108,서울,2017-01-09 18,1.3,
108,서울,2017-01-09 19,0.8,
108,서울,2017-01-09 20,0.0,
108,서울,2017-01-09 21,-0.8,
108,서울,2017-01-09 22,-1.6,
108,서울,2017-01-09 23,-2.5,
108,서울,2017-01-10 00,-3.1,
108,서울,2017-01-10 01,-3.7,
108,서울,2017-01-10 02,-3.9,
108,서울,2017-01-10 03,-4.2,
108,서울,2017-01-10 04,-4.5,
108,서울,2017-01-10 05,-4.8,
108,서울,2017-01-10 06,-5.1,
108,서울,2017-01-10 07,-5.3,
108,서울,2017-01-10 08,-5.4,
108,서울,2017-01-10 09,-4.4,
108,서울,2017-01-10 10,-2.2,
108,서울,2017-01-10 11,-0.5,
108,서울,2017-01-10 12,-0.5,
108,서울,2017-01-10 13,0.7,
108,서울,2017-01-10 14,0.8,
108,서울,2017-01-10 15,0.4,
108,서울,2017-01-10 16,-0.5,
108,서울,2017-01-10 17,-1.5,
108,서울,2017-01-10 18,-2.8,
108,서울,2017-01-10 19,-3.7,
108,서울,2017-01-10 20,-4.5,
108,서울,2017-01-10 21,-5.5,
108,서울,2017-01-10 22,-6.2,
108,서울,2017-01-10 23,-7.0,
108,서울,2017-01-11 00,-7.4,
108,서울,2017-01-11 01,-7.5,
108,서울,2017-01-11 02,-7.8,
108,서울,2017-01-11 03,-8.0,
108,서울,2017-01-11 04,-8.2,
108,서울,2017-01-11 05,-8.5,
108,서울,2017-01-11 06,-8.8,
108,서울,2017-01-11 07,-9.1,
108,서울,2017-01-11 08,-9.4,
108,서울,2017-01-11 09,-7.9,
108,서울,2017-01-11 10,-4.5,
108,서울,2017-01-11 11,-2.3,
108,서울,2017-01-11 12,-0.8,
108,서울,2017-01-11 13,-0.1,
108,서울,2017-01-11 14,1.0,
108,서울,2017-01-11 15,1.0,
108,서울,2017-01-11 16,0.5,
108,서울,2017-01-11 17,-0.5,
108,서울,2017-01-11 18,-1.8,
108,서울,2017-01-11 19,-2.3,
108,서울,2017-01-11 20,-2.8,
108,서울,2017-01-11 21,-2.9,
108,서울,2017-01-11 22,-2.7,
108,서울,2017-01-11 23,-1.9,
108,서울,2017-01-12 00,-1.2,
108,서울,2017-01-12 01,-0.8,
108,서울,2017-01-12 02,-0.7,
108,서울,2017-01-12 03,-0.9,0.0
108,서울,2017-01-12 04,-1.4,
108,서울,2017-01-12 05,-1.5,
108,서울,2017-01-12 06,-1.1,
108,서울,2017-01-12 07,-1.2,
108,서울,2017-01-12 08,-1.9,
108,서울,2017-01-12 09,-2.4,
108,서울,2017-01-12 10,-1.3,
108,서울,2017-01-12 11,-1.0,
108,서울,2017-01-12 12,0.0,
108,서울,2017-01-12 13,0.4,
108,서울,2017-01-12 14,0.9,
108,서울,2017-01-12 15,0.2,
108,서울,2017-01-12 16,0.6,
108,서울,2017-01-12 17,-1.3,
108,서울,2017-01-12 18,-2.5,
108,서울,2017-01-12 19,-3.4,
108,서울,2017-01-12 20,-4.1,
108,서울,2017-01-12 21,-4.7,
