지점번호,지점,일시,기온,강수량
108,서울,2017-07-01 00,24.1,
108,서울,2017-07-01 01,23.7,
108,서울,2017-07-01 02,23.3,
108,서울,2017-07-01 03,23.0,
108,서울,2017-07-01 04,22.8,
108,서울,2017-07-01 05,22.7,
108,서울,2017-07-01 06,22.4,
108,서울,2017-07-01 07,22.5,
108,서울,2017-07-01 08,23.0,
108,서울,2017-07-01 09,24.0,
108,서울,2017-07-01 10,24.4,
108,서울,2017-07-01 11,25.4,
108,서울,2017-07-01 12,27.2,
108,서울,2017-07-01 13,28.2,
108,서울,2017-07-01 14,29.6,
108,서울,2017-07-01 15,30.4,
108,서울,2017-07-01 16,29.7,
108,서울,2017-07-01 17,28.6,
108,서울,2017-07-01 18,26.9,
108,서울,2017-07-01 19,25.5,0.0
108,서울,2017-07-01 20,23.9,0.5
108,서울,2017-07-01 21,24.0,0.0
108,서울,2017-07-01 22,24.2,0.0
108,서울,2017-07-01 23,24.5,0.0
108,서울,2017-07-02 00,24.5,0.0
108,서울,2017-07-02 01,24.2,0.5
108,서울,2017-07-02 02,24.0,0.5
108,서울,2017-07-02 03,23.9,2.5
108,서울,2017-07-02 04,24.0,1.0
108,서울,2017-07-02 05,23.8,2.5
108,서울,2017-07-02 06,23.9,0.5
108,서울,2017-07-02 07,24.2,0.0
108,서울,2017-07-02 08,24.5,0.0
108,서울,2017-07-02 09,24.1,9.0
108,서울,2017-07-02 10,24.9,0.0
108,서울,2017-07-02 11,25.8,0.0
108,서울,2017-07-02 12,26.4,0.0
108,서울,2017-07-02 13,26.6,0.0
108,서울,2017-07-02 14,26.6,0.0
108,서울,2017-07-02 15,26.0,0.0
108,서울,2017-07-02 16,25.9,0.0
108,서울,2017-07-02 17,26.2,0.0
108,서울,2017-07-02 18,25.7,0.0
108,서울,2017-07-02 19,25.2,0.5
108,서울,2017-07-02 20,25.2,0.0
108,서울,2017-07-02 21,22.5,12.5
108,서울,2017-07-02 22,22.5,0.5
108,서울,2017-07-02 23,22.5,21.5
108,서울,2017-07-03 00,22.0,40.5
108,서울,2017-07-03 01,22.0,50.5
108,서울,2017-07-03 02,22.1,10.5
