관측분야 : 지상기상관측
조회기간 : 임의기간& #40;시별& #41;: 2017-12-01 00시 ~ 2017-12-31 23시
관측지점 : 서울& #40;108& #41;
출력기후요소 : 기온,강수량

지점번호,지점,일시,기온 (℃),시간강수량 (mm),
원시자료
108,서울,2017-12-01 00,-5.2,,
108,서울,2017-12-01 01,-5.5,,
108,서울,2017-12-01 02,-6.0,,
108,서울,2017-12-01 03,-6.2,,
108,서울,2017-12-01 04,-6.0,,
108,서울,2017-12-01 05,-6.4,,
108,서울,2017-12-01 06,-6.6,,
108,서울,2017-12-01 07,-7.4,,
108,서울,2017-12-01 08,-7.6,,
108,서울,2017-12-01 09,-6.5,,
108,서울,2017-12-01 10,-3.5,,
108,서울,2017-12-01 11,-0.5,,
108,서울,2017-12-01 12,1.7,,
108,서울,2017-12-01 13,2.4,,
108,서울,2017-12-01 14,3.0,,
108,서울,2017-12-01 15,2.1,,
108,서울,2017-12-01 16,1.2,,
108,서울,2017-12-01 17,0.8,,
108,서울,2017-12-01 18,0.6,0.0,
108,서울,2017-12-01 19,0.0,,
108,서울,2017-12-01 20,-0.3,,
108,서울,2017-12-01 21,-0.8,,
108,서울,2017-12-01 22,-0.9,,
108,서울,2017-12-01 23,-1.3,,
108,서울,2017-12-02 00,-1.8,,
108,서울,2017-12-02 01,-2.2,,
108,서울,2017-12-02 02,-2.9,,
108,서울,2017-12-02 03,-3.5,,
108,서울,2017-12-02 04,-3.8,,
108,서울,2017-12-02 05,-4.0,,
108,서울,2017-12-02 06,-4.3,,
108,서울,2017-12-02 07,-4.4,,
108,서울,2017-12-02 08,-4.2,,
108,서울,2017-12-02 09,-2.9,,
108,서울,2017-12-02 10,-0.4,,
108,서울,2017-12-02 11,1.9,,
108,서울,2017-12-02 12,4.3,,
108,서울,2017-12-02 13,6.0,,
108,서울,2017-12-02 14,7.3,,
108,서울,2017-12-02 15,7.6,,
108,서울,2017-12-02 16,6.4,,
108,서울,2017-12-02 17,6.0,,
108,서울,2017-12-02 18,5.5,,
108,서울,2017-12-02 19,5.0,,
108,서울,2017-12-02 20,4.6,,
108,서울,2017-12-02 21,4.1,,
108,서울,2017-12-02 22,3.5,,
108,서울,2017-12-02 23,4.0,,
108,서울,2017-12-03 00,4.0,,
108,서울,2017-12-03 01,3.9,,
108,서울,2017-12-03 02,3.3,,
108,서울,2017-12-03 03,3.4,0.5,
108,서울,2017-12-03 04,3.5,,
108,서울,2017-12-03 05,3.9,,
108,서울,2017-12-03 06,3.4,1.0,
108,서울,2017-12-03 07,3.1,,
108,서울,2017-12-03 08,3.2,,
108,서울,2017-12-03 09,3.5,2.5,
108,서울,2017-12-03 10,4.4,,
108,서울,2017-12-03 11,5.1,,
108,서울,2017-12-03 12,5.8,,
108,서울,2017-12-03 13,6.8,,
108,서울,2017-12-03 14,7.6,,
108,서울,2017-12-03 15,8.0,,
108,서울,2017-12-03 16,7.6,,
108,서울,2017-12-03 17,6.7,,
108,서울,2017-12-03 18,6.0,,
108,서울,2017-12-03 19,5.7,,
108,서울,2017-12-03 20,5.2,,
108,서울,2017-12-03 21,4.7,,
