관측분야 : 지상기상관측
조회기간 : 임의기간& #40;시별& #41;: 2017-02-01 00시 ~ 2017-02-28 23시
관측지점 : 서울& #40;108& #41;
출력기후요소 : 기온,강수량

지점번호,지점,일시,기온 (℃),시간강수량 (mm),
원시자료
108,서울,2017-02-01 00,-5.7,,
108,서울,2017-02-01 01,-5.8,,
108,서울,2017-02-01 02,-6.2,,
108,서울,2017-02-01 03,-6.0,,
108,서울,2017-02-01 04,-5.7,,
108,서울,2017-02-01 05,-5.4,,
108,서울,2017-02-01 06,-5.0,,
108,서울,2017-02-01 07,-5.0,,
108,서울,2017-02-01 08,-4.8,,
108,서울,2017-02-01 09,-4.1,,
108,서울,2017-02-01 10,-3.0,,
108,서울,2017-02-01 11,-1.8,,
108,서울,2017-02-01 12,-1.1,,
108,서울,2017-02-01 13,-0.6,,
108,서울,2017-02-01 14,-0.2,,
108,서울,2017-02-01 15,-0.1,,
108,서울,2017-02-01 16,0.1,,
108,서울,2017-02-01 17,-0.7,,
108,서울,2017-02-01 18,-2.6,,
108,서울,2017-02-01 19,-3.5,,
108,서울,2017-02-01 20,-4.4,,
108,서울,2017-02-01 21,-5.4,,
108,서울,2017-02-01 22,-6.4,,
108,서울,2017-02-01 23,-6.9,,
108,서울,2017-02-02 00,-7.4,,
108,서울,2017-02-02 01,-7.5,,
108,서울,2017-02-02 02,-7.7,,
108,서울,2017-02-02 03,-8.1,,
108,서울,2017-02-02 04,-8.6,,
108,서울,2017-02-02 05,-8.9,,
108,서울,2017-02-02 06,-8.9,,
108,서울,2017-02-02 07,-9.2,,
108,서울,2017-02-02 08,-9.1,,
108,서울,2017-02-02 09,-7.7,,
108,서울,2017-02-02 10,-4.7,,
108,서울,2017-02-02 11,-2.2,,
108,서울,2017-02-02 12,-0.8,,
108,서울,2017-02-02 13,0.5,,
108,서울,2017-02-02 14,1.3,,
108,서울,2017-02-02 15,2.9,,
108,서울,2017-02-02 16,3.0,,
108,서울,2017-02-02 17,2.3,,
108,서울,2017-02-02 18,1.2,,
108,서울,2017-02-02 19,0.4,,
108,서울,2017-02-02 20,0.3,,
108,서울,2017-02-02 21,0.2,,
108,서울,2017-02-02 22,0.6,,
108,서울,2017-02-02 23,0.3,,
108,서울,2017-02-03 00,-0.3,,
108,서울,2017-02-03 01,-0.2,,
108,서울,2017-02-03 02,0.2,,
108,서울,2017-02-03 03,0.0,,
108,서울,2017-02-03 04,-0.6,,
108,서울,2017-02-03 05,-1.2,,
108,서울,2017-02-03 06,-1.8,,
108,서울,2017-02-03 07,-2.1,,
108,서울,2017-02-03 08,-2.3,,
108,서울,2017-02-03 09,-1.5,,
108,서울,2017-02-03 10,0.7,,
108,서울,2017-02-03 11,2.5,,
108,서울,2017-02-03 12,4.7,,
108,서울,2017-02-03 13,5.0,,
108,서울,2017-02-03 14,6.0,,
108,서울,2017-02-03 15,6.5,,
108,서울,2017-02-03 16,6.2,,
108,서울,2017-02-03 17,5.5,,
108,서울,2017-02-03 18,3.6,,
108,서울,2017-02-03 19,2.5,,
108,서울,2017-02-03 20,1.9,,
108,서울,2017-02-03 21,1.0,,
108,서울,2017-02-03 22,0.6,,
108,서울,2017-02-03 23,0.4,,
108,서울,2017-02-04 00,-0.2,,
108,서울,2017-02-04 01,-0.5,,
108,서울,2017-02-04 02,-0.9,,
108,서울,2017-02-04 03,-1.3,,
108,서울,2017-02-04 04,-1.7,,
108,서울,2017-02-04 05,-2.1,,
108,서울,2017-02-04 06,-2.5,,
108,서울,2017-02-04 07,-2.8,,
108,서울,2017-02-04 08,-2.9,,
108,서울,2017-02-04 09,-1.4,,
108,서울,2017-02-04 10,0.2,,
108,서울,2017-02-04 11,1.3,,
108,서울,2017-02-04 12,1.8,,
108,서울,2017-02-04 13,2.6,,
108,서울,2017-02-04 14,3.0,,
108,서울,2017-02-04 15,3.2,,
108,서울,2017-02-04 16,3.1,,
108,서울,2017-02-04 17,2.8,,
108,서울,2017-02-04 18,2.6,,
108,서울,2017-02-04 19,2.5,,
108,서울,2017-02-04 20,2.4,,
108,서울,2017-02-04 21,2.3,,
108,서울,2017-02-04 22,2.4,,
108,서울,2017-02-04 23,2.3,,
108,서울,2017-02-05 00,2.3,,
108,서울,2017-02-05 01,2.2,,
108,서울,2017-02-05 02,2.0,,
108,서울,2017-02-05 03,1.8,,
108,서울,2017-02-05 04,1.7,,
108,서울,2017-02-05 05,1.8,,
108,서울,2017-02-05 06,1.9,,
108,서울,2017-02-05 07,1.8,,
108,서울,2017-02-05 08,1.7,,
108,서울,2017-02-05 09,1.8,0.0,
108,서울,2017-02-05 10,2.0,,
108,서울,2017-02-05 11,2.1,,
108,서울,2017-02-05 12,2.0,0.4,
108,서울,2017-02-05 13,1.5,,
108,서울,2017-02-05 14,1.6,,
108,서울,2017-02-05 15,1.7,0.1,
108,서울,2017-02-05 16,1.8,,
108,서울,2017-02-05 17,1.8,,
108,서울,2017-02-05 18,1.5,0.0,
108,서울,2017-02-05 19,1.2,,
108,서울,2017-02-05 20,0.6,,
108,서울,2017-02-05 21,0.2,,
108,서울,2017-02-05 22,-0.2,,
108,서울,2017-02-05 23,-0.8,,
108,서울,2017-02-06 00,-1.5,,
108,서울,2017-02-06 01,-1.8,,
108,서울,2017-02-06 02,-2.2,,
108,서울,2017-02-06 03,-2.5,,
