LocNumber,Loc,Date,Temp,Prec
108,서울,2017-11-01 00,11.7,,
108,서울,2017-11-01 01,11.6,,
108,서울,2017-11-01 02,11.9,,
108,서울,2017-11-01 03,11.7,,
108,서울,2017-11-01 04,12.1,,
108,서울,2017-11-01 05,12.0,,
108,서울,2017-11-01 06,11.9,,
108,서울,2017-11-01 07,12.2,,
108,서울,2017-11-01 08,11.9,,
108,서울,2017-11-01 09,12.4,,
108,서울,2017-11-01 10,13.3,,
108,서울,2017-11-01 11,15.4,,
108,서울,2017-11-01 12,15.7,,
108,서울,2017-11-01 13,16.0,,
108,서울,2017-11-01 14,17.1,,
108,서울,2017-11-01 15,18.0,,
108,서울,2017-11-01 16,17.6,,
108,서울,2017-11-01 17,16.9,,
108,서울,2017-11-01 18,16.2,,
108,서울,2017-11-01 19,15.8,,
108,서울,2017-11-01 20,15.4,,
108,서울,2017-11-01 21,15.1,,
108,서울,2017-11-01 22,14.8,,
108,서울,2017-11-01 23,14.5,,
108,서울,2017-11-02 00,14.2,,
108,서울,2017-11-02 01,14.1,,
108,서울,2017-11-02 02,14.0,,
108,서울,2017-11-02 03,14.2,,
108,서울,2017-11-02 04,14.2,,
108,서울,2017-11-02 05,14.1,,
108,서울,2017-11-02 06,14.3,,
108,서울,2017-11-02 07,14.3,,
108,서울,2017-11-02 08,14.4,,
108,서울,2017-11-02 09,15.1,,
108,서울,2017-11-02 10,14.8,,
108,서울,2017-11-02 11,16.2,,
108,서울,2017-11-02 12,17.5,,
108,서울,2017-11-02 13,17.8,,
108,서울,2017-11-02 14,17.5,,
108,서울,2017-11-02 15,16.5,1.0,
108,서울,2017-11-02 16,16.4,,
108,서울,2017-11-02 17,16.2,,
108,서울,2017-11-02 18,16.1,0.0,
108,서울,2017-11-02 19,16.0,,
108,서울,2017-11-02 20,15.9,,
108,서울,2017-11-02 21,15.6,,
108,서울,2017-11-02 22,15.1,,
108,서울,2017-11-02 23,14.8,,
108,서울,2017-11-03 00,14.9,,
108,서울,2017-11-03 01,14.8,,
108,서울,2017-11-03 02,14.6,,
108,서울,2017-11-03 03,14.7,,
108,서울,2017-11-03 04,14.6,,
108,서울,2017-11-03 05,14.6,,
108,서울,2017-11-03 06,14.6,,
108,서울,2017-11-03 07,14.6,,
108,서울,2017-11-03 08,14.3,,
108,서울,2017-11-03 09,14.4,0.5,
108,서울,2017-11-03 10,14.0,,
108,서울,2017-11-03 11,13.7,,
108,서울,2017-11-03 12,14.5,1.0,
108,서울,2017-11-03 13,15.5,,
108,서울,2017-11-03 14,16.6,,
108,서울,2017-11-03 15,16.5,,
108,서울,2017-11-03 16,13.8,,
108,서울,2017-11-03 17,12.3,,
108,서울,2017-11-03 18,10.6,,
