지점번호,지점,일시,기온,강수량
108,서울,2017-03-07 12,0.4,,
108,서울,2017-03-07 13,0.4,,
108,서울,2017-03-07 14,1.8,,
108,서울,2017-03-07 15,2.2,,
108,서울,2017-03-07 16,2.6,,
108,서울,2017-03-07 17,2.2,,
108,서울,2017-03-07 18,0.6,,
108,서울,2017-03-07 19,-0.6,,
108,서울,2017-03-07 20,-1.3,,
108,서울,2017-03-07 21,-1.8,,
108,서울,2017-03-07 22,-2.7,,
108,서울,2017-03-07 23,-3.1,,
108,서울,2017-03-08 00,-3.6,,
108,서울,2017-03-08 01,-4.3,,
108,서울,2017-03-08 02,-4.6,,
108,서울,2017-03-08 03,-4.9,,
108,서울,2017-03-08 04,-5.1,,
108,서울,2017-03-08 05,-5.2,,
108,서울,2017-03-08 06,-5.2,,
108,서울,2017-03-08 07,-5.2,,
108,서울,2017-03-08 08,-4.0,,
108,서울,2017-03-08 09,-1.7,,
108,서울,2017-03-08 10,-0.5,,
108,서울,2017-03-08 11,1.8,,
108,서울,2017-03-08 12,3.5,,
108,서울,2017-03-08 13,4.8,,
108,서울,2017-03-08 14,4.1,,
108,서울,2017-03-08 15,4.2,0.0,
108,서울,2017-03-08 16,4.5,,
108,서울,2017-03-08 17,3.9,,
108,서울,2017-03-08 18,3.1,,
108,서울,2017-03-08 19,2.3,,
108,서울,2017-03-08 20,1.8,,
108,서울,2017-03-08 21,1.1,,
108,서울,2017-03-08 22,0.4,,
108,서울,2017-03-08 23,-0.4,,
108,서울,2017-03-09 00,-1.0,,
108,서울,2017-03-09 01,-1.6,,
108,서울,2017-03-09 02,-2.1,,
108,서울,2017-03-09 03,-2.2,,
108,서울,2017-03-09 04,-2.6,,
108,서울,2017-03-09 05,-2.6,,
108,서울,2017-03-09 06,-2.7,,
108,서울,2017-03-09 07,-2.5,,
108,서울,2017-03-09 08,-1.2,,
108,서울,2017-03-09 09,1.8,,
108,서울,2017-03-09 10,4.5,,
108,서울,2017-03-09 11,6.2,,
108,서울,2017-03-09 12,7.1,,
108,서울,2017-03-09 13,8.6,,
108,서울,2017-03-09 14,9.2,,
108,서울,2017-03-09 15,9.8,,
108,서울,2017-03-09 16,10.1,,
108,서울,2017-03-09 17,8.6,,
108,서울,2017-03-09 18,7.1,,
108,서울,2017-03-09 19,5.4,,
108,서울,2017-03-09 20,4.4,,
108,서울,2017-03-09 21,3.7,,
108,서울,2017-03-09 22,2.8,,
108,서울,2017-03-09 23,2.0,,
108,서울,2017-03-10 00,1.3,,
108,서울,2017-03-10 01,0.7,,
108,서울,2017-03-10 02,0.5,,
108,서울,2017-03-10 03,-0.2,,
108,서울,2017-03-10 04,-0.7,,
108,서울,2017-03-10 05,-1.0,,
108,서울,2017-03-10 06,-1.0,,
108,서울,2017-03-10 07,-1.1,,
108,서울,2017-03-10 08,0.2,,
108,서울,2017-03-10 09,2.7,,
108,서울,2017-03-10 10,5.7,,
108,서울,2017-03-10 11,7.5,,
108,서울,2017-03-10 12,8.8,,
108,서울,2017-03-10 13,9.7,,
108,서울,2017-03-10 14,11.5,,
108,서울,2017-03-10 15,11.8,,
108,서울,2017-03-10 16,10.9,,
108,서울,2017-03-10 17,10.1,,
108,서울,2017-03-10 18,8.8,,
108,서울,2017-03-10 19,6.8,,
108,서울,2017-03-10 20,5.7,,
108,서울,2017-03-10 21,4.7,,
108,서울,2017-03-10 22,4.1,,
108,서울,2017-03-10 23,3.3,,
108,서울,2017-03-11 00,2.8,,
108,서울,2017-03-11 01,2.4,,
108,서울,2017-03-11 02,1.9,,
108,서울,2017-03-11 03,1.2,,
108,서울,2017-03-11 04,0.9,,
108,서울,2017-03-11 05,0.5,,
108,서울,2017-03-11 06,0.3,,
108,서울,2017-03-11 07,-0.1,,
108,서울,2017-03-11 08,0.7,,
108,서울,2017-03-11 09,4.1,,
108,서울,2017-03-11 10,6.9,,
108,서울,2017-03-11 11,9.6,,
108,서울,2017-03-11 12,11.8,,
108,서울,2017-03-11 13,14.2,,
108,서울,2017-03-11 14,15.4,,
108,서울,2017-03-11 15,16.3,,
108,서울,2017-03-11 16,14.9,,
108,서울,2017-03-11 17,12.7,,
108,서울,2017-03-11 18,11.4,,
108,서울,2017-03-11 19,9.3,,
108,서울,2017-03-11 20,8.0,,
108,서울,2017-03-11 21,7.3,,
108,서울,2017-03-11 22,6.7,,
108,서울,2017-03-11 23,6.2,,
108,서울,2017-03-12 00,5.9,,
108,서울,2017-03-12 01,5.6,,
108,서울,2017-03-12 02,5.5,,
108,서울,2017-03-12 03,5.7,,
108,서울,2017-03-12 04,5.4,,
108,서울,2017-03-12 05,5.1,,
108,서울,2017-03-12 06,5.0,,
108,서울,2017-03-12 07,4.4,,
108,서울,2017-03-12 08,5.1,,
108,서울,2017-03-12 09,6.6,,
108,서울,2017-03-12 10,8.5,,
108,서울,2017-03-12 11,9.6,,
108,서울,2017-03-12 12,11.6,,
108,서울,2017-03-12 13,13.1,,
108,서울,2017-03-12 14,13.2,,
108,서울,2017-03-12 15,13.8,,
108,서울,2017-03-12 16,12.5,,
108,서울,2017-03-12 17,10.3,,
108,서울,2017-03-12 18,9.3,,
108,서울,2017-03-12 19,8.7,,
108,서울,2017-03-12 20,8.5,,
108,서울,2017-03-12 21,7.8,0.0,
108,서울,2017-03-12 22,7.4,,
108,서울,2017-03-12 23,7.1,,
108,서울,2017-03-13 00,6.1,0.0,
108,서울,2017-03-13 01,5.2,,
108,서울,2017-03-13 02,4.2,,
108,서울,2017-03-13 03,3.4,,
108,서울,2017-03-13 04,2.6,,
108,서울,2017-03-13 05,2.7,,
108,서울,2017-03-13 06,2.4,,
108,서울,2017-03-13 07,1.7,,
108,서울,2017-03-13 08,2.0,,
108,서울,2017-03-13 09,4.7,,
108,서울,2017-03-13 10,6.3,,
108,서울,2017-03-13 11,8.4,,
108,서울,2017-03-13 12,9.8,,
108,서울,2017-03-13 13,9.9,,
108,서울,2017-03-13 14,11.2,,
108,서울,2017-03-13 15,12.0,,
108,서울,2017-03-13 16,11.6,,
108,서울,2017-03-13 17,11.6,,
108,서울,2017-03-13 18,10.2,,
108,서울,2017-03-13 19,9.0,,
108,서울,2017-03-13 20,8.3,,
108,서울,2017-03-13 21,7.4,,
108,서울,2017-03-13 22,6.4,,
108,서울,2017-03-13 23,5.9,,
108,서울,2017-03-14 00,5.1,,
108,서울,2017-03-14 01,4.4,,
108,서울,2017-03-14 02,3.5,,
108,서울,2017-03-14 03,2.8,,
108,서울,2017-03-14 04,2.3,,
108,서울,2017-03-14 05,1.9,,
108,서울,2017-03-14 06,1.3,,
108,서울,2017-03-14 07,1.1,,
108,서울,2017-03-14 08,1.9,,
108,서울,2017-03-14 09,3.5,,
108,서울,2017-03-14 10,5.1,,
108,서울,2017-03-14 11,7.1,,
108,서울,2017-03-14 12,8.3,,
108,서울,2017-03-14 13,9.7,,
108,서울,2017-03-14 14,9.7,,
108,서울,2017-03-14 15,10.7,,
108,서울,2017-03-14 16,10.5,,
108,서울,2017-03-14 17,10.2,,
108,서울,2017-03-14 18,8.9,,
108,서울,2017-03-14 19,7.7,,
108,서울,2017-03-14 20,7.0,,
108,서울,2017-03-14 21,6.1,,
108,서울,2017-03-14 22,4.9,,
108,서울,2017-03-14 23,4.4,,
108,서울,2017-03-15 00,4.6,,
108,서울,2017-03-15 01,3.7,,
108,서울,2017-03-15 02,3.0,,
