LocNumber,Loc,Date,Temp,Prec
108,서울,2017-05-07 14,21.9,,
108,서울,2017-05-07 15,22.5,,
108,서울,2017-05-07 16,22.2,,
108,서울,2017-05-07 17,21.9,,
108,서울,2017-05-07 18,20.7,,
108,서울,2017-05-07 19,18.5,,
108,서울,2017-05-07 20,17.0,,
108,서울,2017-05-07 21,16.2,,
108,서울,2017-05-07 22,15.4,,
108,서울,2017-05-07 23,14.9,,
108,서울,2017-05-08 00,14.1,,
108,서울,2017-05-08 01,13.0,,
108,서울,2017-05-08 02,12.2,,
108,서울,2017-05-08 03,12.3,,
108,서울,2017-05-08 04,11.8,,
108,서울,2017-05-08 05,11.3,,
108,서울,2017-05-08 06,11.2,,
108,서울,2017-05-08 07,12.5,,
108,서울,2017-05-08 08,15.3,,
108,서울,2017-05-08 09,17.8,,
108,서울,2017-05-08 10,19.6,,
108,서울,2017-05-08 11,21.4,,
108,서울,2017-05-08 12,23.2,,
108,서울,2017-05-08 13,23.1,,
108,서울,2017-05-08 14,23.3,,
108,서울,2017-05-08 15,22.8,,
108,서울,2017-05-08 16,22.3,,
108,서울,2017-05-08 17,21.1,,
108,서울,2017-05-08 18,20.2,,
108,서울,2017-05-08 19,19.3,,
108,서울,2017-05-08 20,18.6,,
108,서울,2017-05-08 21,18.3,,
108,서울,2017-05-08 22,18.0,,
108,서울,2017-05-08 23,17.7,,
108,서울,2017-05-09 00,17.3,,
108,서울,2017-05-09 01,17.2,,
108,서울,2017-05-09 02,16.5,,
108,서울,2017-05-09 03,16.6,,
108,서울,2017-05-09 04,15.7,,
108,서울,2017-05-09 05,15.4,,
108,서울,2017-05-09 06,15.3,,
108,서울,2017-05-09 07,15.6,,
108,서울,2017-05-09 08,16.0,,
108,서울,2017-05-09 09,16.6,0.0,
108,서울,2017-05-09 10,17.2,0.0,
108,서울,2017-05-09 11,18.0,0.0,
108,서울,2017-05-09 12,19.3,0.0,
108,서울,2017-05-09 13,20.0,,
108,서울,2017-05-09 14,22.5,,
108,서울,2017-05-09 15,21.3,,
108,서울,2017-05-09 16,19.9,0.3,
108,서울,2017-05-09 17,18.0,0.7,
108,서울,2017-05-09 18,16.7,1.0,
108,서울,2017-05-09 19,16.3,0.5,
108,서울,2017-05-09 20,15.8,0.0,
108,서울,2017-05-09 21,15.6,0.0,
108,서울,2017-05-09 22,15.4,,
108,서울,2017-05-09 23,15.3,,
108,서울,2017-05-10 00,15.3,,
108,서울,2017-05-10 01,15.4,,
108,서울,2017-05-10 02,15.4,0.0,
108,서울,2017-05-10 03,15.3,0.0,
108,서울,2017-05-10 04,15.0,0.4,
108,서울,2017-05-10 05,14.7,0.6,
108,서울,2017-05-10 06,14.6,0.5,
108,서울,2017-05-10 07,14.5,0.5,
108,서울,2017-05-10 08,15.0,0.5,
108,서울,2017-05-10 09,16.0,,
108,서울,2017-05-10 10,17.2,,
108,서울,2017-05-10 11,17.4,,
108,서울,2017-05-10 12,17.9,,
108,서울,2017-05-10 13,19.1,,
108,서울,2017-05-10 14,19.7,,
108,서울,2017-05-10 15,19.3,,
108,서울,2017-05-10 16,20.6,,
108,서울,2017-05-10 17,20.7,,
108,서울,2017-05-10 18,18.9,,
108,서울,2017-05-10 19,16.9,,
108,서울,2017-05-10 20,15.5,,
108,서울,2017-05-10 21,14.9,,
108,서울,2017-05-10 22,14.5,,
108,서울,2017-05-10 23,14.5,,
108,서울,2017-05-11 00,14.5,0.0,
108,서울,2017-05-11 01,14.1,0.0,
108,서울,2017-05-11 02,13.8,0.0,
108,서울,2017-05-11 03,13.4,,
108,서울,2017-05-11 04,13.2,,
108,서울,2017-05-11 05,13.4,,
108,서울,2017-05-11 06,13.7,,
108,서울,2017-05-11 07,14.2,,
108,서울,2017-05-11 08,15.1,,
108,서울,2017-05-11 09,16.8,,
108,서울,2017-05-11 10,18.3,,
108,서울,2017-05-11 11,19.1,,
108,서울,2017-05-11 12,21.4,,
108,서울,2017-05-11 13,22.9,,
108,서울,2017-05-11 14,23.5,,
108,서울,2017-05-11 15,24.4,,
108,서울,2017-05-11 16,24.1,,
108,서울,2017-05-11 17,24.8,,
108,서울,2017-05-11 18,24.6,,
108,서울,2017-05-11 19,23.2,,
108,서울,2017-05-11 20,22.2,,
108,서울,2017-05-11 21,21.3,,
108,서울,2017-05-11 22,20.7,,
108,서울,2017-05-11 23,19.9,,
108,서울,2017-05-12 00,19.0,,
108,서울,2017-05-12 01,18.6,,
108,서울,2017-05-12 02,18.1,,
108,서울,2017-05-12 03,18.0,,
108,서울,2017-05-12 04,19.0,,
108,서울,2017-05-12 05,19.4,,
108,서울,2017-05-12 06,19.5,,
108,서울,2017-05-12 07,19.4,,
108,서울,2017-05-12 08,19.7,,
108,서울,2017-05-12 09,19.8,,
108,서울,2017-05-12 10,20.3,,
108,서울,2017-05-12 11,20.7,,
108,서울,2017-05-12 12,20.8,,
108,서울,2017-05-12 13,21.0,,
