"kind","country","lon","lat"
"Prunus x yedoensis","Japan",135.84549,34.6846
"Prunus x yedoensis","Japan",132.9,32.883333
"Prunus x yedoensis","Japan",135.84549,34.6846
"Prunus x yedoensis","Japan",134.133333,33.333333
"Prunus x yedoensis","Japan",133.85,33.516667
"Prunus x yedoensis","Japan",133.15,33.45
"Prunus x yedoensis","Japan",133.816667,33.7
"Prunus x yedoensis","Japan",140.36012,36.77835
"Prunus x yedoensis","Japan",140.383333,37.65
"Prunus x yedoensis","Japan",133.886389,35.053889
"Prunus x yedoensis","Japan",134.066667,33.5
"Prunus x yedoensis","Japan",136.866667,36.4
"Prunus x yedoensis","Japan",133.583333,33.85
"Prunus x yedoensis","Japan",133.815919,33.986674
"Prunus x yedoensis","Japan",134.134722,35.183889
"Prunus x yedoensis","Japan",133.791116,33.997089
"Prunus x yedoensis","Japan",139.43755,35.57619
"Prunus x yedoensis","Japan",135.79846,34.40693
"Prunus x yedoensis","Japan",135.79846,34.40693
"Prunus x yedoensis","Japan",137.167143,35.205901
"Prunus x yedoensis","Japan",140.61719,36.57161
"Prunus x yedoensis","Japan",140.915,43.196
"Prunus x yedoensis","Japan",133.984722,35.153333
"Prunus x yedoensis","Japan",140.915,43.189
"Prunus x yedoensis","Japan",140.67506,36.61325
"Prunus x yedoensis","Japan",133.626111,35.301111
"Prunus x yedoensis","Japan",140,37
"Prunus x yedoensis","Japan",134.055278,35.234444
"Prunus x yedoensis","Japan",140.915,43.196
"Prunus x yedoensis","Russia",132.16667,43.33333
"Prunus x yedoensis","Japan",134.133611,35.2425
"Prunus x yedoensis","Japan",140.57886,36.52933
"Prunus x yedoensis","Japan",134.016111,35.234444
"Prunus x yedoensis","Japan",140,37
"Prunus x yedoensis","Japan",133.537778,35.082222
"Prunus x yedoensis","Japan",140.73378,36.80572
"Prunus x yedoensis","Japan",135.92517,34.58202
"Prunus x yedoensis","Japan",134.010278,35.125
"Prunus x yedoensis","Japan",140.83,40.67
"Prunus x yedoensis","Japan",140,37
"Prunus x yedoensis","Japan",134.116389,35.168333
"Prunus x yedoensis","Japan",140.63956,36.57886
"Prunus x yedoensis","Japan",140.63956,36.57886
"Prunus x yedoensis","Japan",140.922,43.178
"Prunus x yedoensis","Japan",134.300278,35.114722
"Prunus x yedoensis","Japan",137.8321,36.84642
"Prunus x yedoensis","Japan",138.97722,36.12833
"Prunus x yedoensis","Japan",138.08975,36.18033
"Prunus x yedoensis","Japan",133.614167,35.348056
"Prunus x yedoensis","Japan",140.3489,39.6603
"Prunus x yedoensis","Japan",138.08543,36.18043
"Prunus x yedoensis","Japan",139.140576,35.540745
"Prunus x yedoensis","Japan",134.203889,35.186111
"Prunus x yedoensis","Japan",136.39192,35.40942
"Prunus x yedoensis","Japan",137.71053,35.71945
"Prunus x yedoensis","Japan",136.35567,35.25192
"Prunus x yedoensis","Japan",140.646,36.60202
"Prunus x yedoensis","Japan",140.646,36.60202
"Prunus x yedoensis","Japan",133.375833,34.930833
"Prunus x yedoensis","Japan",133.968056,35.208611
"Prunus x yedoensis","Japan",139.233889,36.928333
"Prunus x yedoensis","Japan",136.783799,36.565164
"Prunus x yedoensis","Japan",140.37804,36.47987
"Prunus x yedoensis","Japan",136.883333,36.733333
"Prunus x yedoensis","Japan",134.241944,35.289722
"Prunus x yedoensis","Japan",134.2185,35.107333
"Prunus x yedoensis","Japan",138.016667,36.483333
"Prunus x yedoensis","Japan",140.12157,36.29233
"Prunus x yedoensis","Japan",140.12157,36.29233
"Prunus x yedoensis","Japan",133.582667,35.220722
"Prunus x yedoensis","Japan",139.203073,35.315773
"Prunus x yedoensis","Japan",139.053088,35.340764
"Prunus x yedoensis","Japan",133.700278,35.234167
"Prunus x yedoensis","Japan",137.55,36.933333
"Prunus x yedoensis","Japan",139.078088,35.199117
"Prunus x yedoensis","Japan",140.12157,36.29233
"Prunus x yedoensis","Japan",134.357222,35.125
"Prunus x yedoensis","Japan",134.319444,35.043611
"Prunus x yedoensis","Japan",133.539167,35.125833
"Prunus x yedoensis","Japan",133.566222,35.161722
"Prunus x yedoensis","Japan",133.566222,35.161722
