"","country","lon","lat"
"814","Japan",140.12157,36.29233
"823","Japan",133.582667,35.220722
"826","Japan",139.203073,35.315773
"837","Japan",139.053088,35.340764
"841","Japan",133.700278,35.234167
"856","Japan",137.55,36.933333
"864","Japan",139.078088,35.199117
"875","Japan",140.12157,36.29233
"903","Japan",134.357222,35.125
"925","Japan",134.319444,35.043611
"949","Japan",133.539167,35.125833
"950","Japan",133.566222,35.161722
"952","Japan",133.566222,35.161722
"964","Japan",132.96875,33.120833
"979","Japan",133.562694,34.935361
"996","Japan",140.3996,38.2342
"1007","China",126.81667,45.2
"1012","Japan",136.670556,36.473333
"1013","China",128.98333,44.95
"1014","China",126.81667,45.2
"1015","China",127.53333,42.15
"1016","Japan",137.454722,35.9175
"1017","China",128.61667,44.93333
"1018","China",127.9,42.81667
"1019","China",127.6,42.16667
"1023","Japan",138.897222,36.473611
"1051","Japan",134.36481,35.05395
"1067","Japan",137.45,36.433333
"1072","Japan",133.53125,33.620833
"1081","Japan",135.79846,34.40693
"1082","Japan",137.742778,36.137778
"1086","Japan",134.033333,34.25
"1092","Japan",136.766667,35.45
"1116","Japan",134.76427,34.98822
"1136","Japan",133.08125,33.529167
"1139","Japan",136.033333,35.983333
"1145","Japan",138.535573,35.929458
"1148","China",129.166667,42.333333
"1174","Japan",137.066667,36.566667
"1194","Japan",133.406944,35.145
"1197","Japan",139.440278,38.195
"1206","Japan",134.39955,34.95907
"1224","China",129.041111,43.875278
"1225","China",129.04111,43.87528
"1226","Japan",139.104722,36.959722
"1228","Japan",133.199118,33.231286
"1243","Japan",140.5049,36.52491
"1289","Japan",140.73,38.38
"1296","Japan",138.56235,35.959265
"1304","Japan",140.0051,37.47908
"1309","Japan",140.5049,36.52491
"1310","Japan",139.45,38.083333
"1323","Japan",139.250556,36.480556
"1324","Japan",139.315559,35.582409
"1378","Japan",138.476998,35.951455
"1379","Japan",133.615,35.312778
"1389","Japan",139.207778,36.955556
"1394","Japan",136.5,36.5
"1461","Japan",134.79385,35.16769
"1491","Russia",134.682186,48.165778
"1493","Japan",140.10951,36.37244
"1496","Japan",136.783333,37.166667
"1507","Japan",137.05,36.366667
"1513","Russia",134.682186,48.165778
"1517","Japan",136.466347,36.319652
"1565","Japan",136.883333,36.733333
"1581","Japan",136.8,36.516667
"1588","Japan",133.840833,35.188889
"1599","Japan",136.03529,35.3493
"1600","Japan",134.42804,34.87666
"1601","Japan",136.8,36.5
"1602","Japan",137.683333,36.816667
"1603","Japan",134.42804,34.87666
"1605","Japan",134.42804,34.87666
"1606","Japan",137.533333,36.516667
"1608","Japan",137.433333,36.45
"1609","Japan",137.449444,36.485833
"1612","Japan",139.078087,35.299105
"1624","Japan",137.5,36.8
"1639","Japan",139.078083,35.415755
"1671","Japan",137.383333,36.6
"1674","Japan",143.216667,43.166667
"1682","Japan",139.040594,35.249112
"1685","Japan",143.216667,43.166667
"1693","Japan",139.08423,36.0085
"1697","Japan",139.09544,36.20924
"1698","Japan",133.477778,35.086944
"1706","Japan",137.216667,36.55
"1712","Japan",137.283333,36.483333
"1721","Japan",133.392778,34.955833
"1725","Japan",136.716667,35.933333
"1728","Japan",137.383333,36.55
"1729","Japan",138.4636,36.05
"1730","Japan",139.08423,36.0085
"1731","Japan",136.528147,36.306858
"1736","Japan",139.08423,36.0085
"1738","Japan",136.397,35.7883
"1740","Japan",139.103088,35.215785
"1741","Japan",139.615538,35.465763
"1744","Japan",140.36012,36.77835
"1748","Japan",137.063611,36.576667
"1752","Japan",136.579878,36.351982
"1764","China",118.75305,39.95916
"1773","Japan",139.053092,35.274108
"1783","Japan",137.55,36.816667
"1795","Japan",139.228068,35.524082
"1800","Japan",136.983333,36.433333
"1801","Japan",139.00264,36.02119
"1805","Japan",136.983333,36.433333
"1807","Japan",139.228068,35.524082
"1809","Japan",140.36012,36.77835
"1810","Japan",139.08423,36.0085
"1811","Japan",137.516667,36.683333
"1812","Japan",136.95,36.25
"1814","Japan",139.0919,36.08048
"1817","Japan",139.203069,35.540746
"1828","Japan",139.053096,35.157455
"1829","Japan",137.433333,36.566667
"1842","Japan",139.08423,36.0085
"1843","Japan",136.95,36.433333
"1844","Japan",137.35,36.416667
"1846","Japan",136.571063,36.372353
"1852","Japan",139.065585,35.382425
"1855","Japan",134.300178,33.959877
"1858","Japan",133.515083,35.172611
"1859","Japan",139.56329,36.00533
"1865","Japan",139.091667,36.791389
"1868","Japan",139.653031,35.582414
"1869","Japan",142.366667,42.333333
"1870","Japan",142.366667,42.333333
"1871","Japan",142.366667,42.333333
"1872","Japan",142.366667,42.333333
"1875","Japan",139.115591,35.157458
"1877","Japan",140.11324,37.54788
"1880","Japan",139.165574,35.474085
"1882","Japan",139.165579,35.274112
"1896","Japan",139.190571,35.532413
"1905","Japan",137.033333,36.4
"1906","Japan",139.015595,35.315766
"1907","Japan",139.278062,35.607403
"1908","Japan",136.8,36.516667
"1909","Japan",136.983333,36.416667
"1910","Japan",139.20307,35.524081
"1912","Japan",140.37804,36.47987
"1913","Japan",139.215568,35.549078
"1914","Japan",137.433333,36.7
"1917","Japan",137.9,36.9
"1919","Japan",139.240569,35.449091
"1923","Japan",133.05625,33.570833
"1924","Japan",139.165574,35.474085
"1925","Japan",139.1044,35.98908
"1926","Russia",132.353384,43.637665
"1927","Japan",139.00264,36.02119
"1928","Japan",139.1044,35.98908
"1929","Japan",139.165571,35.649063
"1930","Japan",139.140573,35.64073
"1931","Japan",139.090582,35.499081
"1932","Japan",139.090582,35.499081
"1933","Japan",139.128088,35.199121
"1934","Japan",139.278065,35.507419
"1938","China",124,44
"1941","Japan",139.303063,35.499088
"1952","Japan",139.08423,36.0085
"1966","Japan",139.08423,36.0085
"1967","Japan",138.978101,35.215779
"1969","Japan",136.516696,36.297353
"1970","Japan",139.090582,35.440753
"1973","Japan",136.516696,36.297353
"1975","Japan",139.053091,35.215781
"1980","Japan",139.053091,35.215781
"1982","Japan",137.45,36.616667
"1984","Japan",139.003097,35.265774
"1986","Japan",134.2924,33.54396
"1987","Russia",131.252082,42.806556
"1989","Japan",139.003097,35.282437
"1992","Japan",139.08423,36.0085
"1994","Japan",136.816667,36.366667
"1998","Japan",142.445556,42.385278
"1999","Japan",139.103082,35.324102
"2001","Japan",139.190572,35.482419
"2002","Japan",142.445556,42.385278
"2003","Japan",139.190572,35.482419
"2004","Japan",134.2924,33.54396
"2005","Japan",139.0919,36.08048
"2006","Japan",139.20307,35.515749
"2007","Japan",139.140577,35.390761
"2008","Japan",139.36875,35.354167
"2009","Japan",139.153072,35.657395
"2010","Japan",139.053086,35.474083
"2011","Japan",139.128076,35.582404
"2017","Japan",138.978095,35.465749
"2022","Japan",139.228067,35.624068
"2027","Japan",139.23125,35.4125
"2028","Japan",139.003093,35.39909
"2031","Japan",139.028089,35.482415
"2032","Japan",139.165571,35.649063
"2039","Japan",139.103081,35.365763
"2046","Japan",138.965596,35.43242
"2048","Japan",139.278065,35.449092
"2054","Japan",133.53574,33.55642
"2056","Japan",139.240567,35.549079
"2059","Japan",138.476389,36.542222
"2060","Japan",139.10308,35.482416
"2063","Japan",139.065584,35.507412
"2065","Japan",139.178073,35.482418
"2066","Japan",139.08423,36.0085
"2067","Japan",139.08423,36.0085
"2068","Japan",138.935833,36.860833
"2070","Japan",142.445556,42.385278
"2071","Japan",139.1044,35.98908
"2075","Japan",139.46875,35.3625
"2080","Japan",139.16875,35.395833
"2086","Japan",139.19375,35.429167
"2109","Japan",139.89622,36.82483
"2110","Japan",137.183333,36.516667
"2111","Japan",140.36012,36.77835
"2113","Japan",137.5,36.75
"2116","Japan",137.13333,36.56667
"2117","Japan",139.56329,36.00533
"2118","Japan",137.516667,36.683333
"2119","Japan",44,14
"2120","Japan",139.26875,35.420833
"2121","Japan",139.19375,35.404167
"2123","Japan",139.23267,36.02811
"2126","Japan",137.216667,36.516667
"2127","Japan",139.228068,35.557411
"2134","Japan",139.56329,36.00533
"2136","Japan",134.117583,35.254222
"2138","Japan",139.08423,36.0085
"2142","Japan",139.325278,36.585278
"2144","Japan",139.24375,35.429167
"2146","Japan",139.24375,35.429167
"2147","Japan",139.56329,36.00533
"2148","Japan",139.56329,36.00533
"2149","Japan",139.56329,36.00533
"2150","South Korea",127.01667,37.28333
"2151","South Korea",127,37.28333
"2166","Japan",139.090591,35.174121
"2171","Japan",139.117878,35.549773
"2178","Japan",139.078083,35.499081
"2185","Japan",139.56329,36.00533
"2186","Japan",139.56329,36.00533
"2187","Japan",139.56329,36.00533
"2188","Japan",139.56329,36.00533
"2189","Japan",139.56329,36.00533
"2190","Japan",139.56329,36.00533
"2191","Japan",133.64375,33.879167
"2192","Japan",139.56329,36.00533
"2193","Japan",139.56329,36.00533
"2197","Japan",139.56329,36.00533
"2198","Japan",139.56329,36.00533
"2214","Japan",139.56329,36.00533
"2215","Japan",139.56329,36.00533
"2216","Japan",137.016667,36.566667
"2229","Japan",139.394444,36.819167
"2235","Japan",133.381711,33.793305
"2239","Japan",140.548627,42.596916
"2241","Japan",139.115833,37.028333
"2247","Japan",140.36012,36.77835
"2256","Japan",140.36012,36.77835
"2262","Japan",134.070171,33.769873
"2285","Japan",139.183056,36.559167
"2293","Japan",139.00264,36.02119
"2294","Japan",140.28654,36.1961
"2296","Japan",140.37804,36.47987
"2297","Japan",140.28654,36.1961
"2304","Japan",138.523889,36.508056
"2305","Japan",140.84563,37.14052
"2308","Japan",134.337086,34.164076
"2311","Japan",134.354004,33.96196
"2312","Japan",134.354004,33.96196
"2338","Japan",139.060278,36.610278
"2339","Japan",140.73969,36.80775
"2347","Japan",140.23277,40.20629
"2349","Japan",138.47,36.589167
"2352","Japan",140.36012,36.77835
"2357","Japan",138.687778,35.973056
"2368","Russia",135.650607,44.185596
"2371","Japan",135.71555,35.12271
"2372","Japan",140.41,36.55083
"2374","Japan",135.725,35.108333
"2379","Japan",137.254,35.8806
"2380","Japan",140.37804,36.47987
"2383","Japan",139.187573,35.435427
"2384","Japan",134.42625,33.699468
"2385","Japan",134.42625,33.699468
"2386","Japan",138.80925,35.549333
"2387","Japan",138.80925,35.549333
"2388","Japan",140.16945,36.73745
"2403","Japan",140.646,36.60202
"2404","Japan",140.52885,36.53717
"2406","Japan",140.646,36.60202
"2407","Japan",140.52885,36.53717
"2410","Japan",133.53572,33.55642
"2419","Japan",132.273056,33.908889
"2420","Japan",132.19551,33.92715
"2423","Japan",132.270556,33.913056
"2425","Japan",136.493336,36.162174
"2428","Japan",140.321111,42.647778
"2429","Japan",140.31194,42.67121
"2433","Japan",143.1,42.7
"2440","Japan",140.28654,36.1961
"2441","Japan",136.3495,36.209679
"2449","Japan",140.364,37.40598
"2463","Japan",136.490063,36.261288
"2464","Japan",139.053085,35.440752
"2465","Japan",139.053085,35.440752
"2466","Japan",136.490063,36.261288
"2467","Japan",136.490063,36.261288
"2470","Japan",139.08423,36.0085
"2483","Japan",139.08423,36.0085
"2485","Japan",136.551488,36.372903
"2486","Japan",138.541667,36.473611
"2487","Japan",139.11039,36.486455
"2488","Japan",139.065584,35.382425
"2491","Japan",139.77882,37.20166
"2492","Japan",133.892022,33.925183
"2494","Japan",139.39176,36.799483
"2499","Japan",137.735988,36.447236
"2501","Japan",134.577538,33.95166
"2510","Japan",138.966111,36.837222
"2514","Japan",138.816389,36.741389
"2515","Japan",139.128078,35.415758
"2520","Japan",140.52284,36.54145
"2525","Japan",140.37804,36.47987
"2533","Japan",136.666667,36.566667
"2534","Japan",138.495,35.558889
"2535","Japan",139.77882,37.20166
"2536","Japan",139.77882,37.20166
