"","country","lon","lat"
"322","China",102.364372,30.99903
"323","China",101.279419,27.928607
"324","China",101.279419,27.928607
"325","Russia",89.43478,61.05274
"326","Russia",89.6034,61.04906
"327","Russia",89.55658,61.0117
"329","Russia",127.115001,53.874317
"330","Russia",90.59502,59.67051
"331","Russia",89.6968,60.87106
"332","Russia",127.385471,53.921263
"334","China",101.125234,30.979541
"335","China",101.125234,30.979541
"336","China",101.125234,30.979541
"337","China",101.125234,30.979541
"342","China",102.177079,28.549809
"343","China",102.177079,28.549809
"344","China",102.177079,28.549809
"349","Japan",140.072335,37.600819
"350","Japan",140.072335,37.600819
"355","China",102.364372,30.99903
"356","China",102.063825,31.476274
"357","China",102.063825,31.476274
"358","China",102.364372,30.99903
"359","China",102.063825,31.476274
"360","China",102.364372,30.99903
"361","China",102.206261,31.905842
"362","China",102.544402,32.790891
"363","China",102.544402,32.790891
"364","China",102.206261,31.905842
"365","China",128.514494,42.786504
"366","China",102.206261,31.905842
"367","China",102.544402,32.790891
"368","Japan",137.133333,36.4
"373","Mongolia",106.856289,48.395189
"376","China",101.96483,30.055305
"377","China",101.125234,30.979541
"378","China",101.014427,30.031529
"379","China",98.218428,31.499202
"380","China",101.96483,30.055305
"381","China",98.218428,31.499202
"382","China",100.676372,31.39179
"383","China",101.014427,30.031529
"384","China",101.96483,30.055305
"385","China",101.125234,30.979541
"387","Japan",137.995047,36.143167
"388","Japan",137.995047,36.143167
"390","Japan",137.083333,36.433333
"391","China",100.298406,29.037008
"392","China",100.298406,29.037008
"393","China",100.298406,29.037008
"394","China",99.79929,28.932073
"395","China",100.298406,29.037008
"396","China",100.298406,29.037008
"397","China",100.298406,29.037008
"398","China",99.79929,28.932073
"399","China",99.79929,28.932073
"400","China",99.79929,28.932073
"401","China",100.298406,29.037008
"402","China",100.298406,29.037008
"403","China",99.79929,28.932073
"407","China",99.79929,28.932073
"408","China",99.79929,28.932073
"415","Russia",148.154222,62.802382
"431","Japan",138.366667,35.966667
"440","Japan",137.664513,35.684276
"447","China",103.59895,32.637983
"448","China",103.59895,32.637983
"454","China",103.59895,32.637983
"455","China",101.125234,30.979541
"456","China",103.59895,32.637983
"462","Russia",94.61249,58.748
"466","China",101.89063,30.878627
"467","China",101.89063,30.878627
"468","China",99.706013,27.82308
"469","China",101.89063,30.878627
"470","China",101.89063,30.878627
"474","China",122.298507,40.600244
"475","China",102.364372,30.99903
"476","China",102.990174,32.061655
"477","China",103.267,31.084
"478","China",102.546111,30.911944
"479","China",102.546111,30.911944
"480","China",101.96483,30.055305
"481","China",101.96483,30.055305
"482","China",101.96483,30.055305
"483","China",102.364372,30.99903
"484","China",102.990174,32.061655
"485","China",102.364372,30.99903
"486","China",101.96483,30.055305
"487","China",102.364372,30.99903
"488","China",102.990174,32.061655
"489","China",102.990174,32.061655
"490","China",102.990174,32.061655
"491","China",102.364372,30.99903
"492","China",102.364372,30.99903
"496","Japan",137.433333,36.45
