"kind","country","lon","lat"
"Taxus cuspidata","Russia",142.076667,48.47
"Taxus cuspidata","Japan",140.915,43.1968
"Taxus cuspidata","Japan",137.25186,36.14605
"Taxus cuspidata","Sweden",13.202672,55.704481
"Taxus cuspidata","United States",-72.50138,41.79527
"Taxus cuspidata","United States",-72.54583,41.79083
"Taxus cuspidata","United States",-72.50583,41.79472
"Taxus cuspidata","Sweden",11.852004,57.667977
"Taxus cuspidata","Japan",139.1425,36.8575
"Taxus cuspidata","United States",-81.4729,41.5446
"Taxus cuspidata","Japan",140.10292,39.71988
"Taxus cuspidata","Russia",143.049717,46.904433
"Taxus cuspidata","Russia",141.22945,46.232067
"Taxus cuspidata","United States",-72.505,41.795
"Taxus cuspidata","Sweden",11.852004,57.667977
"Taxus cuspidata","Japan",137.55,36.75
"Taxus cuspidata","Japan",140.64813,39.17945
"Taxus cuspidata","Japan",140.64813,39.17945
"Taxus cuspidata","Denmark",10.453478,57.368066
"Taxus cuspidata","Russia",152.223867,47.111533
"Taxus cuspidata","Russia",152.223867,47.111533
"Taxus cuspidata","Japan",139.25,36.52
"Taxus cuspidata","Japan",138.19467,36.64853
"Taxus cuspidata","Sweden",13.507248,59.445811
"Taxus cuspidata","Sweden",11.829689,57.70323
"Taxus cuspidata","Sweden",11.829689,57.70323
"Taxus cuspidata","Sweden",16.449862,57.26252
"Taxus cuspidata","Japan",133.37,35.15
"Taxus cuspidata","Japan",137.89966,36.30284
"Taxus cuspidata","Japan",137.68744,35.67498
"Taxus cuspidata","Japan",137.68744,35.67498
"Taxus cuspidata","Finland",26.425213,60.723923
"Taxus cuspidata","Sweden",11.959442,57.682979
"Taxus cuspidata","Japan",142.4,43.25
"Taxus cuspidata","Japan",142.13,44.2
"Taxus cuspidata","Japan",131.11,32.22
"Taxus cuspidata","Japan",138.19467,36.64853
"Taxus cuspidata","Sweden",11.791942,57.649908
"Taxus cuspidata","South Korea",128.48056,36.94222
"Taxus cuspidata","Russia",149.5419,45.5872
"Taxus cuspidata","North Korea",127.01667,41.366665
"Taxus cuspidata","South Korea",127.66806,35.80333
"Taxus cuspidata","South Korea",130.86556,37.49639
"Taxus cuspidata","Russia",140.5347,45.5917
"Taxus cuspidata","Sweden",11.961598,57.630917
"Taxus cuspidata","Sweden",11.961598,57.630917
"Taxus cuspidata","Japan",139.682025,36.392591
"Taxus cuspidata","Russia",147.9986,45.3336
"Taxus cuspidata","Russia",147.8794,45.2644
"Taxus cuspidata","Japan",134.31,35.19
"Taxus cuspidata","Russia",147.9986,45.3336
"Taxus cuspidata","Japan",139.89941,39.94993
"Taxus cuspidata","Japan",140.7682,40.11215
"Taxus cuspidata","Sweden",12.923891,57.705946
"Taxus cuspidata","Sweden",12.053675,57.712775
"Taxus cuspidata","Japan",140.54831,39.452
"Taxus cuspidata","Japan",140.54872,40.04319
"Taxus cuspidata","Japan",140.54872,40.04319
"Taxus cuspidata","Japan",140.54872,40.04319
"Taxus cuspidata","Japan",140.47108,39.99372
"Taxus cuspidata","Japan",140.47108,39.99372
"Taxus cuspidata","Japan",140.54872,40.04319
"Taxus cuspidata","Russia",131.52555,43.10305
"Taxus cuspidata","Russia",133.79361,42.87111
"Taxus cuspidata","United States",-73.875413,40.856767
"Taxus cuspidata","Japan",140.58694,39.50041
"Taxus cuspidata","Japan",140.63547,39.50046
"Taxus cuspidata","Japan",140.69554,39.67985
"Taxus cuspidata","Japan",133.39375,33.820833
"Taxus cuspidata","Japan",140.63547,39.50046
"Taxus cuspidata","Japan",134.3,35.21
"Taxus cuspidata","Japan",140.63547,39.50046
"Taxus cuspidata","Japan",140.62766,39.52795
"Taxus cuspidata","United States",-73.875413,40.856767
"Taxus cuspidata","Japan",140.69554,39.67985
"Taxus cuspidata","Japan",139.093056,36.791944
"Taxus cuspidata","Japan",140.69554,39.67985
"Taxus cuspidata","Finland",24.92526,60.17038
"Taxus cuspidata","Japan",140.60443,39.6386
"Taxus cuspidata","Japan",140.69554,39.67985
"Taxus cuspidata","North Korea",128.9125,37.09722
"Taxus cuspidata","Japan",137.05,36.366667
"Taxus cuspidata","Japan",140.76123,40.30342
"Taxus cuspidata","North Korea",128.5375,37.79444
"Taxus cuspidata","Germany",10.88,49.91
"Taxus cuspidata","North Korea",128.9125,37.09722
"Taxus cuspidata","Japan",134.70422,34.84619
"Taxus cuspidata","Japan",134.70422,34.84619
"Taxus cuspidata","Japan",140.69554,39.67985
"Taxus cuspidata","Japan",134.05625,33.779167
"Taxus cuspidata","Japan",134.70325,34.84726
"Taxus cuspidata","Japan",134.70325,34.84726
"Taxus cuspidata","Japan",140.29631,39.17816
"Taxus cuspidata","Japan",140.29631,39.17816
"Taxus cuspidata","Japan",140.60443,39.6386
"Taxus cuspidata","Japan",140.58672,39.48846
"Taxus cuspidata","Japan",137.566667,36.783333
"Taxus cuspidata","Russia",142.780297,46.633754
"Taxus cuspidata","Japan",136.933333,36.333333
"Taxus cuspidata","Japan",140.4403,38.1947
"Taxus cuspidata","Japan",140.04892,39.3858
"Taxus cuspidata","United States",-72.33944,41.78444
"Taxus cuspidata","Japan",140.26149,40.27889
"Taxus cuspidata","Japan",140.26149,40.27889
"Taxus cuspidata","Japan",140.32652,40.38068
"Taxus cuspidata","Japan",144.52882,42.95589
"Taxus cuspidata","Finland",28.846342,62.597368
"Taxus cuspidata","Japan",137.216667,36.55
"Taxus cuspidata","Japan",137.216667,36.55
"Taxus cuspidata","Japan",140.68,39.46
"Taxus cuspidata","Japan",137.1,36.4
"Taxus cuspidata","Japan",134.75945,34.95039
"Taxus cuspidata","Japan",137.1,36.4
"Taxus cuspidata","Japan",140.63547,39.50046
"Taxus cuspidata","Finland",24.432967,61.046261
"Taxus cuspidata","Japan",143.158611,42.874722
"Taxus cuspidata","Japan",140.74759,40.32619
"Taxus cuspidata","Japan",140.26149,40.27889
"Taxus cuspidata","Japan",140.72998,39.69967
"Taxus cuspidata","Finland",24.654917,61.362291
"Taxus cuspidata","Japan",140.72998,39.69967
"Taxus cuspidata","United States",-75.221011,40.088444
"Taxus cuspidata","United States",-73.55,41.13472
"Taxus cuspidata","Japan",140.69554,39.67985
"Taxus cuspidata","Japan",140.72998,39.69967
"Taxus cuspidata","Japan",138.94395,34.97577
"Taxus cuspidata","Japan",138.94395,34.97577
"Taxus cuspidata","United States",-72.9247,41.3114
"Taxus cuspidata","Japan",140.74759,40.32619
"Taxus cuspidata","Japan",140.76123,40.30342
"Taxus cuspidata","Japan",131.20082,32.68385
"Taxus cuspidata","Japan",143.158611,42.874722
"Taxus cuspidata","Japan",143.158611,42.874722
"Taxus cuspidata","United States",-72.9247,41.3114
"Taxus cuspidata","United States",-72.9247,41.3114
"Taxus cuspidata","United States",-72.9247,41.3114
"Taxus cuspidata","Japan",141.32529,41.27972
"Taxus cuspidata","Japan",140.58672,39.48846
"Taxus cuspidata","Russia",135.103848,44.345218
"Taxus cuspidata","Russia",131.52,43.07
"Taxus cuspidata","Russia",131.2,43.22
"Taxus cuspidata","Japan",141.02242,38.31862
"Taxus cuspidata","Japan",139.121944,37.047222
"Taxus cuspidata","Sweden",11.950755,57.683237
"Taxus cuspidata","Russia",136.282334,44.759797
"Taxus cuspidata","Japan",143.1,42.7
"Taxus cuspidata","Russia",136.282334,44.759797
"Taxus cuspidata","Japan",140.23277,40.20629
"Taxus cuspidata","United States",-72.25,41.80833
"Taxus cuspidata","United States",-72.54527,41.68694
"Taxus cuspidata","United States",-73.0375,41.55833
"Taxus cuspidata","United States",-72.25,41.80833
"Taxus cuspidata","Japan",140.73969,36.80775
"Taxus cuspidata","Japan",140.04892,39.3858
"Taxus cuspidata","Japan",140.4539,39.0502
"Taxus cuspidata","Japan",140.04892,39.3858
"Taxus cuspidata","Japan",140.2091,38.5331
"Taxus cuspidata","Japan",140.5883,38.7941
"Taxus cuspidata","Japan",140.38713,38.48422
"Taxus cuspidata","Japan",140.12549,39.74063
"Taxus cuspidata","Japan",140.97348,42.31548
"Taxus cuspidata","Japan",140.80415,42.56722
