"kind","country","lon","lat"
"Chionanthus retusus","China",117.087972,36.20227
"Chionanthus retusus","China",117.087972,36.20227
"Chionanthus retusus","China",117.087972,36.20227
"Chionanthus retusus","China",102.700013,25.012526
"Chionanthus retusus","China",117.087972,36.20227
"Chionanthus retusus","China",102.700013,25.012526
"Chionanthus retusus","China",117.087972,36.20227
"Chionanthus retusus","China",102.700013,25.012526
"Chionanthus retusus","China",102.928677,24.706769
"Chionanthus retusus","China",102.928677,24.706769
"Chionanthus retusus","China",102.700013,25.012526
"Chionanthus retusus","Taiwan",121.276389,24.883889
"Chionanthus retusus","Taiwan",121.276389,24.883889
"Chionanthus retusus","Taiwan",121.505556,25.027222
"Chionanthus retusus","Taiwan",121.528056,25.013611
"Chionanthus retusus","China",98.66582,27.740736
"Chionanthus retusus","China",98.911543,28.48611
"Chionanthus retusus","China",104.702829,23.125462
"Chionanthus retusus","China",98.911543,28.48611
"Chionanthus retusus","China",102.593465,25.869611
"Chionanthus retusus","China",100.85195,27.2822
"Chionanthus retusus","China",102.593465,25.869611
"Chionanthus retusus","China",98.911543,28.48611
"Chionanthus retusus","China",102.593465,25.869611
"Chionanthus retusus","China",102.593465,25.869611
"Chionanthus retusus","China",100.229945,26.876096
"Chionanthus retusus","China",100.229945,26.876096
"Chionanthus retusus","China",99.28717,27.177166
"Chionanthus retusus","China",100.229945,26.876096
"Chionanthus retusus","China",121.125214,24.703281
"Chionanthus retusus","China",99.28717,27.177166
"Chionanthus retusus","China",98.911543,28.48611
"Chionanthus retusus","China",98.911543,28.48611
"Chionanthus retusus","China",103.003972,25.275367
"Chionanthus retusus","China",102.593465,25.869611
"Chionanthus retusus","China",103.003972,25.275367
"Chionanthus retusus","China",99.28717,27.177166
"Chionanthus retusus","China",104.702829,23.125462
"Chionanthus retusus","China",103.106271,25.678797
"Chionanthus retusus","China",98.911543,28.48611
"Chionanthus retusus","China",99.28717,27.177166
"Chionanthus retusus","Taiwan",121.528056,25.013611
"Chionanthus retusus","China",100.229945,26.876096
"Chionanthus retusus","China",102.928677,24.706769
"Chionanthus retusus","China",100.229945,26.876096
"Chionanthus retusus","China",104.337169,23.605727
"Chionanthus retusus","China",100.229945,26.876096
"Chionanthus retusus","China",100.229945,26.876096
"Chionanthus retusus","China",104.337169,23.605727
"Chionanthus retusus","China",102.928677,24.706769
"Chionanthus retusus","China",100.229945,26.876096
"Chionanthus retusus","China",100.229945,26.876096
"Chionanthus retusus","China",100.85195,27.2822
"Chionanthus retusus","China",102.700013,25.012526
"Chionanthus retusus","China",100.229945,26.876096
"Chionanthus retusus","China",102.700013,25.012526
"Chionanthus retusus","China",100.229945,26.876096
"Chionanthus retusus","China",104.337169,23.605727
"Chionanthus retusus","China",102.700013,25.012526
"Chionanthus retusus","China",100.229945,26.876096
"Chionanthus retusus","China",103.106271,25.678797
"Chionanthus retusus","China",104.337169,23.605727
"Chionanthus retusus","China",100.229945,26.876096
"Chionanthus retusus","China",100.17643,26.56023
"Chionanthus retusus","China",100.229945,26.876096
"Chionanthus retusus","China",105.726028,34.568696
"Chionanthus retusus","China",100.229945,26.876096
"Chionanthus retusus","China",100.17643,26.56023
"Chionanthus retusus","China",103.388085,23.36561
"Chionanthus retusus","China",100.229945,26.876096
"Chionanthus retusus","China",103.388085,23.36561
"Chionanthus retusus","China",107.843975,34.15745
"Chionanthus retusus","China",107.843975,34.15745
"Chionanthus retusus","China",100.85195,27.2822
"Chionanthus retusus","China",102.700013,25.012526
"Chionanthus retusus","China",102.700013,25.012526
"Chionanthus retusus","China",102.700013,25.012526
"Chionanthus retusus","China",102.700013,25.012526
"Chionanthus retusus","China",107.843975,34.15745
"Chionanthus retusus","Taiwan",121.351389,25.046667
"Chionanthus retusus","Taiwan",121.505556,25.027222
"Chionanthus retusus","China",100.229945,26.876096
"Chionanthus retusus","China",99.706013,27.82308
