,country,lon,lat
260,United States,-74.293043,40.747196
261,Japan,131.88125,32.854167
262,United Kingdom,-3.00936,55.90996
263,Japan,140.077222,37.676111
264,Japan,139.265567,35.399098
265,Japan,141.51684,40.289095
267,Australia,151.086579,-33.73011903
268,Japan,139.6175,37.211389
269,Japan,138.675,36.082222
270,Japan,139.303063,35.424095
273,United States,-71.1225,42.45
274,United Kingdom,-3.80777,51.63987
275,Japan,139.140577,35.432423
276,Japan,140.81875,40.420833
277,Japan,140.079167,37.673611
278,France,3.21224,50.77138
279,France,7.33014,47.63516
280,Japan,134.080833,33.973333
281,Japan,136.048917,34.259639
282,Japan,139.253068,35.390765
283,Japan,136.098444,34.261056
284,Japan,140.45625,40.429167
285,Japan,136.048917,34.259639
286,Japan,134.080806,33.973333
289,Japan,139.628036,35.52409
290,United States,-73.970657,40.779095
291,France,5.30989,45.58447
293,Japan,142.242069,43.136319
294,United Kingdom,-2.8244,53.17924
295,France,3.04472,50.62806
296,Australia,151.147007,-33.70083403
297,United Kingdom,-2.88908,53.41249
298,Japan,139.128611,35.286167
558,United Kingdom,-3.51289,51.4642
561,United Kingdom,-3.51289,51.4642
564,Japan,139.628036,35.52409
565,United States,-76.486907,38.9696
566,Belgium,4.092879,50.702368
570,United Kingdom,-2.22638,53.27177
571,United Kingdom,-3.91438,56.14504
572,Japan,140.861,43.178
573,Japan,140.49017,36.28894
574,Japan,138.90869,37.12014
575,Georgia,41.710369,41.690926
577,Japan,132.65625,33.204167
595,Japan,139.090278,36.835278
602,Germany,10.264547,47.52309
603,Australia,151.120182,-33.71068303
606,Japan,140.11787,36.1165
607,Japan,135.195511,34.690083
609,France,-1.27874,43.66989
611,France,-1.27874,43.66989
614,Japan,135.195511,34.690083
616,United Kingdom,-2.71522,53.80915
617,France,7.39684,48.44382
618,United Kingdom,-2.22638,53.27177
619,Japan,135.05,34.8
620,France,7.68283,48.6131
621,France,5.05375,45.47042
622,Japan,139.15912,35.58836
623,France,4.88463,45.51332
624,Japan,138.620833,36.171389
627,Japan,130.667222,32.177778
629,Japan,136.111944,35.728611
630,Japan,130.845833,32.111667
631,United States,-72.25361,41.80916
632,Japan,139.71211,35.6556
633,Japan,136.111944,35.728611
634,Japan,140.939,43.177
637,United Kingdom,-2.5536,55.63925
640,Germany,8.4,49
642,United Kingdom,-3.19397,55.93077
644,Japan,133.45192,34.75672
645,France,7.6748,48.5233
646,France,7.81823,48.60769
647,France,7.81823,48.60769
648,United Kingdom,-3.48597,56.44876
649,United Kingdom,-2.50177,53.73833
650,United Kingdom,-3.48597,56.44876
651,United Kingdom,-3.48597,56.44876
652,United Kingdom,-2.50177,53.73833
653,New Zealand,174.7275,-36.869444
654,United Kingdom,-2.93904,51.56012
656,United Kingdom,-2.22686,53.36166
657,Japan,140.8575,37.814167
658,Australia,151.142622,-33.75564903
659,Japan,131.139167,32.070833
660,Japan,131.421389,31.785278
661,United Kingdom,-3.12832,53.35654
664,Japan,136.462028,35.803864
665,Japan,139.71211,35.6556
668,Japan,140.676558,39.447887
670,Japan,135.5875,33.877222
671,Australia,151.125,-33.71600003
672,Japan,136.400725,35.815501
675,Japan,140.05551,36.43404
676,Japan,140.05551,36.43404
678,France,7.81823,48.60769
679,United Kingdom,-3.4493,55.91006
680,United Kingdom,-2.22638,53.27177
681,United States,-122.29496,47.6373
682,France,7.33745,47.72503
685,United Kingdom,-1.16268,53.98813
688,United Kingdom,-1.16268,53.98813
697,Japan,139.20625,35.504167
702,Canada,-123.233333,49.25
704,New Zealand,172.601944,-43.520278
705,Japan,140.920556,37.798056
707,Canada,-123.233333,49.25
708,Canada,-123.233333,49.25
709,Germany,8.667612,49.414826
710,Japan,140.9175,39.521111
711,Japan,137.197153,35.218132
712,France,7.53184,48.43874
714,Japan,139.11875,35.495833
715,Germany,10.196171,52.472037
716,Japan,139.11875,35.579167
717,Japan,140.759722,39.518056
718,Japan,140.356667,37.709722
719,Germany,8.810263,47.984866
720,Japan,139.057281,35.100383
722,United Kingdom,-2.54459,52.94264
723,United Kingdom,-2.54459,52.94264
724,Japan,136.296111,35.998333
726,Japan,136.296111,35.998333
728,Japan,136.296111,35.998333
730,Japan,140.433889,41.91
731,Japan,140.419167,41.825556
732,United Kingdom,-3.51289,51.4642
733,United Kingdom,-2.52407,53.09105
734,France,7.83483,48.78724
736,Australia,145.3602,-37.85850004
737,France,-0.07868,44.43106
741,United Kingdom,-0.47544,51.31433
744,United Kingdom,-0.47325,51.31565
745,United Kingdom,-2.37632,53.27139
746,Japan,140.216111,37.110833
749,New Zealand,170.996659,-42.716687
755,Japan,140.216111,37.110833
758,New Zealand,170.81614,-42.898076
760,Japan,130.249567,33.470483
762,Japan,139.019472,34.867028
764,New Zealand,170.553653,-43.148763
765,Japan,139.034861,35.078722
766,Japan,139.017833,34.869389
771,Japan,140.993,43.168
778,Japan,140.0834,36.19741
780,Germany,7.808082,48.028746
785,Japan,134.927222,34.863056
786,Japan,140.0834,36.19741
789,United States,-104.9619,39.73193
790,United States,-104.9619,39.73193
791,United States,-104.9619,39.73193
792,United States,-104.9619,39.73193
793,United States,-104.9619,39.73193
794,United States,-104.9619,39.73193
795,United States,-104.9619,39.73193
797,United Kingdom,-2.22638,53.27177
798,United States,-104.9619,39.73193
800,United Kingdom,-2.22638,53.27177
802,Sweden,11.950755,57.683237
803,United Kingdom,-2.37475,53.09162
809,United Kingdom,-2.22638,53.27177
810,Luxembourg,6.13,49.6
812,Luxembourg,6.29,49.51
818,Japan,140.1907,36.00768
819,Japan,135.79846,34.40693
823,Japan,135.79846,34.40693
824,Japan,134.283333,33.916667
